Study Type,Count,Pct
Controlled Experiment,35,35.0
Observational Study,28,28.0
Mixed Methods,12,12.0
Case Study,9,9.0
Survey,3,3.0
Systematic Review,2,2.0
Other (specify: Experimental Evaluation),1,1.0
Other (specify): Systematic Evaluation with Experiments,1,1.0
Other (specify: Experimental Study),1,1.0
Other (specify): Experimental Study,1,1.0
Exploratory Experiment,1,1.0
"Controlled Experiment, Mixed Methods",1,1.0
Benchmarking,1,1.0
Other (specify): Experimental Study and User Study,1,1.0
Other (Empirical Study),1,1.0
Other (specify): Empirical Study,1,1.0
Comparative Study,1,1.0
