"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"A survey on llm-based code generation for low-resource and domain-specific programming languages","https://scispace.com/paper/a-survey-on-llm-based-code-generation-for-low-resource-and-yoqdp9cxqn97","2025","Journal Article","ACM Transactions on Software Engineering and Methodology","Jie Wu
Fatemeh Fard","10.1145/3770084","https://dl.acm.org/doi/pdf/10.1145/3770084","… strategies, metrics, and benchmarks for enhancing and testing the LLM performance in these … is a need for standard benchmark datasets and evaluation metrics, curating LRPL and DSL …","Large Language Models (LLMs) have shown remarkable capabilities in code generation for popular programming languages. However, their performance in Low-Resource Programming Languages (LRPLs) and Domain-Specific Languages (DSLs) remains a critical challenge. This gap affects millions of developers - with Rust alone having 3.5 million users - who are currently unable to fully leverage LLM capabilities. LRPLs and DSLs face unique challenges, including severe data scarcity and, for DSLs, highly specialized syntax and semantics that are poorly represented in general-purpose datasets. Addressing these challenges is crucial as LRPLs and DSLs significantly enhance development efficiency in specialized domains and applications, including financial and scientific works. While several surveys on LLMs for software engineering and code exist, none comprehensively address the challenges and opportunities specific to LRPLs and DSLs. Our survey fills this gap by providing a systematic review of the current state, methodologies, and challenges in leveraging LLMs for code generation in LRPL and DSL. We filtered 111 papers from over 27,000 published studies from 2020 – 2024 to understand the capabilities and limitations of LLMs in these specialized domains. We also expanded our literature search to include 5 recent papers from 2024 – 2025. We report LLMs used, benchmarks, and metrics to evaluate code generation in LRPLs and DSLs, as well as strategies used to enhance LLM performance, and the collected datasets and curation methods in this context. We identified four main evaluation techniques used in the literature, along with several metrics to assess code generation in LRPL and DSL. We categorized the methods used for LLM improvement into six main groups and summarized the novel methods and architectures proposed by the researchers. We also classified different approaches used for data collection and preparation. While different techniques, metrics, and datasets are used, there is a lack of a standard approach and a benchmark dataset to evaluate code generation in several LRPLs and DSLs. We discuss several distinctions of the studied approaches with the ones used in high-resource programming languages (HRPLs), as well as several challenges unique to these languages, especially DSLs. The challenges stem from the scarcity of data, the unique requirements, and specialized domains, which often need expertise guidelines or domain-specific tools. Accordingly, we provide insights into different research opportunities for the studied aspects. This survey serves as a comprehensive resource for researchers and practitioners working at the intersection of LLMs, software engineering, and specialized programming languages, providing a foundation for future advancements in LRPL and DSL code generation. A GitHub repository was created to organize the papers of this survey at https://github.com/jie-jw-wu/Survey-CodeLLM4LowResource-DSL . "
"From llms to llm-based agents for software engineering: A survey of current, challenges and future","https://scispace.com/paper/from-llms-to-llm-based-agents-for-software-engineering-a-2fb63jbcpnef","2024","Journal Article","","Haolin Jin
Li Huang
Haipeng Cai
Jun Yan
Bo Li
Huaming Chen","10.48550/arxiv.2408.02479","https://arxiv.org/pdf/2408.02479","… tasks, benchmarks, and evaluation metrics. Finally, we … software engineering. We anticipate this work will shed some lights on pushing the boundaries of LLM-based agents in software …","With the rise of large language models (LLMs), researchers are increasingly exploring their applications in var ious vertical domains, such as software engineering. LLMs have achieved remarkable success in areas including code generation and vulnerability detection. However, they also exhibit numerous limitations and shortcomings. LLM-based agents, a novel tech nology with the potential for Artificial General Intelligence (AGI), combine LLMs as the core for decision-making and action-taking, addressing some of the inherent limitations of LLMs such as lack of autonomy and self-improvement. Despite numerous studies and surveys exploring the possibility of using LLMs in software engineering, it lacks a clear distinction between LLMs and LLM based agents. It is still in its early stage for a unified standard and benchmarking to qualify an LLM solution as an LLM-based agent in its domain. In this survey, we broadly investigate the current practice and solutions for LLMs and LLM-based agents for software engineering. In particular we summarise six key topics: requirement engineering, code generation, autonomous decision-making, software design, test generation, and software maintenance. We review and differentiate the work of LLMs and LLM-based agents from these six topics, examining their differences and similarities in tasks, benchmarks, and evaluation metrics. Finally, we discuss the models and benchmarks used, providing a comprehensive analysis of their applications and effectiveness in software engineering. We anticipate this work will shed some lights on pushing the boundaries of LLM-based agents in software engineering for future research. "
"Llm-based test-driven interactive code generation: User study and empirical evaluation","https://scispace.com/paper/llm-based-test-driven-interactive-code-generation-user-study-1e7wht9oto","2024","Journal Article","arXiv.org","Sarah Fakhoury
Aaditya Naik
Georgios Sakkas
Saikat Chakraborty
Shuvendu K. Lahiri","10.48550/arxiv.2404.10100","https://arxiv.org/pdf/2404.10100","… -feedback through LLM-generated tests to improve the trust and correctness of LLMgenerated code. … , where a user prompts an hypothetical LLM to generate code satisfying their natural …","Large language models (LLMs) have shown great potential in automating significant aspects of coding by producing natural code from informal natural language (NL) intent. However, given NL is informal, it does not lend easily to checking that the generated code correctly satisfies the user intent. In this paper, we propose a novel interactive workflow TiCoder for guided intent clarification (i.e., partial formalization) through tests to support the generation of more accurate code suggestions. Through a mixed methods user study with 15 programmers, we present an empirical evaluation of the effectiveness of the workflow to improve code generation accuracy. We find that participants using the proposed workflow are significantly more likely to correctly evaluate AI generated code, and report significantly less task-induced cognitive load. Furthermore, we test the potential of the workflow at scale with four different state-of-the-art LLMs on two python datasets, using an idealized proxy for a user feedback. We observe an average absolute improvement of 38.43% in the pass@1 code generation accuracy for both datasets and across all LLMs within 5 user interactions, in addition to the automatic generation of accompanying unit tests."
"Use of ai-driven code generation models in teaching and learning programming: a systematic literature review","https://scispace.com/paper/use-of-ai-driven-code-generation-models-in-teaching-and-5e8ttxrnfg","2024","","","Doga Cambaz
Xiaoling Zhang","10.1145/3626252.3630958","https://dl.acm.org/doi/pdf/10.1145/3626252.3630958","… the use of LLMbased code generation models in programming education and its potential advantages as a teacher’s assistant in the creation and evaluation of assessments and as a …","The recent emergence of LLM-based code generation models can potentially transform programming education. To pinpoint the current state of research on using LLM-based code generators to support the teaching and learning of programming, we conducted a systematic literature review of 21 papers published since 2018. The review focuses on (1) the teaching and learning practices in programming education that utilized LLM-based code generation models, (2) characteristics and (3) performance indicators of the models, and (4) aspects to consider when utilizing the models in programming education, including the risks and challenges. We found that the most commonly reported uses of LLM-based code generation models for teachers are generating assignments and evaluating student work, while for students, the models function as virtual tutors. We identified that the models exhibit accuracy limitations; generated content often contains minor errors that are manageable by instructors but pose risks for novice learners. Moreover, risks such as academic misconduct and over-reliance on the models are critical when considering integrating these models into education. Overall, LLM-based code generation models can be an assistive tool for both learners and instructors if the risks are mitigated."
"Codeaid: Evaluating a classroom deployment of an llm-based programming assistant that balances student and educator needs","https://scispace.com/paper/codeaid-evaluating-a-classroom-deployment-of-an-llm-based-cjl92637vl","2024","Journal Article","arXiv.org","Majeed Kazemitabaar
Runlong Ye
Xiaoning Wang
Austin Z. Henley
Paul Denny
Michelle Craig
Tovi Grossman","10.48550/arxiv.2401.11314","https://dl.acm.org/doi/pdf/10.1145/3613904.3642773","… survey to determine whether and why students used ChatGPT. Our goal was to gain a holistic view of students’ perceptions of AI assistants in large classes (RQ3). The survey further …","Timely, personalized feedback is essential for students learning programming, especially as class sizes expand. LLM-based tools like ChatGPT offer instant support, but reveal direct answers with code, which may hinder deep conceptual engagement. We developed CodeAid, an LLM-based programming assistant delivering helpful, technically correct responses, without revealing code solutions. For example, CodeAid can answer conceptual questions, generate pseudo-code with line-by-line explanations, and annotate student's incorrect code with fix suggestions. We deployed CodeAid in a programming class of 700 students for a 12-week semester. A thematic analysis of 8,000 usages of CodeAid was performed, further enriched by weekly surveys, and 22 student interviews. We then interviewed eight programming educators to gain further insights on CodeAid. Findings revealed students primarily used CodeAid for conceptual understanding and debugging, although a minority tried to obtain direct code. Educators appreciated CodeAid's educational approach, and expressed concerns about occasional incorrect feedback and students defaulting to ChatGPT."
"A survey on large language models for code generation","https://scispace.com/paper/a-survey-on-large-language-models-for-code-generation-3wcynsnccb","2024","Journal Article","","J.-H.R. Jiang
Fan Wang
Jiasi Shen
Seong-Ju Kim
Sunghun Kim","10.48550/arxiv.2406.00515","https://scispace.compdf/a-survey-on-large-language-models-for-code-generation-3wcynsnccb.pdf","… -to-date literature review dedicated to LLM for code generation. In this survey, we aim to bridge this … In Section 2, we introduce the preliminaries of LLM with Transformer architecture and …","Large Language Models (LLMs) have garnered remarkable advancements across diverse code-related tasks, known as Code LLMs, particularly in code generation that generates source code with LLM from natural language descriptions. This burgeoning field has captured significant interest from both academic researchers and industry professionals due to its practical significance in software development, e.g., GitHub Copilot. Despite the active exploration of LLMs for a variety of code tasks, either from the perspective of natural language processing (NLP) or software engineering (SE) or both, there is a noticeable absence of a comprehensive and up-to-date literature review dedicated to LLM for code generation. In this survey, we aim to bridge this gap by providing a systematic literature review that serves as a valuable reference for researchers investigating the cutting-edge progress in LLMs for code generation. We introduce a taxonomy to categorize and discuss the recent developments in LLMs for code generation, covering aspects such as data curation, latest advances, performance evaluation, and real-world applications. In addition, we present a historical overview of the evolution of LLMs for code generation and offer an empirical comparison using the widely recognized HumanEval and MBPP benchmarks to highlight the progressive enhancements in LLM capabilities for code generation. We identify critical challenges and promising opportunities regarding the gap between academia and practical development. Furthermore, we have established a dedicated resource website (https://codellm.github.io) to continuously document and disseminate the most recent advances in the field. "
"A performance study of llm-generated code on leetcode","https://scispace.com/paper/a-performance-study-of-llm-generated-code-on-leetcode-1cpci4fvyt","2024","Journal Article","","Tristan Coignion
Clément Quinton
Romain Rouvoy","10.1145/3661167.3661221","https://dl.acm.org/doi/pdf/10.1145/3661167.3661221","… and the temperature of the LLM on the code’s performance? Having a higher temperature … applies to the performance of the code. In the same way, we also study if an LLM that is very …","This study evaluates the efficiency of code generation by Large Language Models (LLMs) and measures their performance against human-crafted solutions using a dataset from Leetcode. We compare 18 LLMs, considering factors such as model temperature and success rate, and their impact on code performance. This research introduces a novel method for measuring and comparing the speed of LLM-generated code, revealing that LLMs produce code with comparable performance, irrespective of the adopted LLM. We also find that LLMs are capable of generating code that is, on average, more efficient than the code written by humans. The paper further discusses the use of Leetcode as a benchmarking dataset, the limitations imposed by potential data contamination, and the platform’s measurement reliability. We believe that our findings contribute to a better understanding of LLM capabilities in code generation and set the stage for future optimizations in the field."
"The programmer's assistant: Conversational interaction with a large language model for software development","https://scispace.com/paper/the-programmers-assistant-conversational-interaction-with-a-3uddd4hd","2023","Proceedings Article","International Conference on Intelligent User Interfaces","Steven I. Ross
Fernando Martinez
Stephanie Houde
Michael Muller
Justin D. Weisz","10.1145/3581641.3584037","https://dl.acm.org/doi/pdf/10.1145/3581641.3584037","… We describe these survey questions in the relevant context of our results, and we provide a complete listing of all survey instruments in Appendix A. (2) Event logs. The Programmer’s …","Large language models (LLMs) have recently been applied in software engineering to perform tasks such as translating code between programming languages, generating code from natural language, and autocompleting code as it is being written. When used within development tools, these systems typically treat each model invocation independently from all previous invocations, and only a specific limited functionality is exposed within the user interface. This approach to user interaction misses an opportunity for users to more deeply engage with the model by having the context of their previous interactions, as well as the context of their code, inform the model’s responses. We developed a prototype system – the Programmer’s Assistant – in order to explore the utility of conversational interactions grounded in code, as well as software engineers’ receptiveness to the idea of conversing with, rather than invoking, a code-fluent LLM. Through an evaluation with 42 participants with varied levels of programming experience, we found that our system was capable of conducting extended, multi-turn discussions, and that it enabled additional knowledge and capabilities beyond code generation to emerge from the LLM. Despite skeptical initial expectations for conversational programming assistance, participants were impressed by the breadth of the assistant’s capabilities, the quality of its responses, and its potential for improving their productivity. Our work demonstrates the unique potential of conversational interactions with LLMs for co-creative processes like software development."
"Examining the use and impact of an ai code assistant on developer productivity and experience in the enterprise","https://scispace.com/paper/examining-the-use-and-impact-of-an-ai-code-assistant-on-h8zoxpuj7u3e","2024","Journal Article","","Justin D. Weisz
Santhi Kumar
Michael Müller
Karen-Ellen Browne
Arielle Goldberg
Ellice Heintze
S. P. Bajpai","10.48550/arxiv.2412.06603","https://dl.acm.org/doi/pdf/10.1145/3706599.3706670","… to help software engineers conduct a variety of coding-… (WCA), an LLM-powered coding assistant deployed internally within … Our case study characterizes the impact of an LLM-powered …","AI assistants are being created to help software engineers conduct a variety of coding-related tasks, such as writing, documenting, and testing code. We describe the use of the watsonx Code Assistant (WCA), an LLM-powered coding assistant deployed internally within IBM. Through surveys of two user cohorts (N=669) and unmoderated usability testing (N=15), we examined developers' experiences with WCA and its impact on their productivity. We learned about their motivations for using (or not using) WCA, we examined their expectations of its speed and quality, and we identified new considerations regarding ownership of and responsibility for generated code. Our case study characterizes the impact of an LLM-powered assistant on developers' perceptions of productivity and it shows that although such tools do often provide net productivity increases, these benefits may not always be experienced by all users. "
"Ai-powered code review with llms: Early results","https://scispace.com/paper/ai-powered-code-review-with-llms-early-results-2ek640ypai","2024","Preprint","","Zeeshan Rasheed
Mariagiovanna Sami
Muhammad Waseem
Kai‐Kristian Kemell
Xiaofeng Wang
Anh Tuan Nguyen
Kari Systä
Pekka Abrahamsson","10.48550/arxiv.2404.18496","https://arxiv.org/pdf/2404.18496","… LLM-based AI agent within the software development, particularly focusing on the code review process. Our approach encompasses the design, development, and evaluation of an LLM-…","In this paper, we present a novel approach to improving software quality and efficiency through a Large Language Model (LLM)-based model designed to review code and identify potential issues. Our proposed LLM-based AI agent model is trained on large code repositories. This training includes code reviews, bug reports, and documentation of best practices. It aims to detect code smells, identify potential bugs, provide suggestions for improvement, and optimize the code. Unlike traditional static code analysis tools, our LLM-based AI agent has the ability to predict future potential risks in the code. This supports a dual goal of improving code quality and enhancing developer education by encouraging a deeper understanding of best practices and efficient coding techniques. Furthermore, we explore the model's effectiveness in suggesting improvements that significantly reduce post-release bugs and enhance code review processes, as evidenced by an analysis of developer sentiment toward LLM feedback. For future work, we aim to assess the accuracy and efficiency of LLM-generated documentation updates in comparison to manual methods. This will involve an empirical study focusing on manually conducted code reviews to identify code smells and bugs, alongside an evaluation of best practice documentation, augmented by insights from developer discussions and code reviews. Our goal is to not only refine the accuracy of our LLM-based tool but also to underscore its potential in streamlining the software development lifecycle through proactive code improvement and education. "
