"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Measuring how changes in code readability attributes affect code quality evaluation by Large Language Models","https://scispace.com/paper/measuring-how-changes-in-code-readability-attributes-affect-qwgxn4r6tjqs","2025","Journal Article","","Igor Regis da Silva Simões
Elaine Venson
Igor Regis da Silva Simões
Elaine Venson","10.5753/sbes.2025.9603","","Code readability is one of the main aspects of code quality, influenced by various properties like identifier names, comments, code structure, and adherence to standards. However, measuring this attribute poses challenges in both industry and academia. While static analysis tools assess attributes such as code smells and comment percentage, code reviews introduce an element of subjectivity. This paper explores using Large Language Models (LLMs) to evaluate code quality attributes related to its readability in a standardized, reproducible, and consistent manner. We conducted a quasi-experiment study to measure the effects of code changes on Large Language Model (LLM)s’ interpretation regarding its readability quality attribute. Nine LLMs were tested, undergoing three interventions: removing comments, replacing identifier names with obscure names, and refactoring to remove code smells. Each intervention involved 10 batch analyses per LLM, collecting data on response variability. We compared the results with a known reference model and tool. The results showed that all LLMs were sensitive to the interventions, with agreement with the reference classifier being high for the original and refactored code scenarios. However, this agreement diverged for the other two interventions. The LLMs demonstrated a strong semantic sensitivity that the reference model did not fully capture. A thematic analysis of the LLMs’ reasoning confirmed their evaluations directly reflected the nature of each intervention. The models also exhibited response variability, with 9.37% to 14.58% of executions showing a standard deviation greater than zero, indicating response oscillation, though this did not always compromise the statistical significance of the results. LLMs demonstrated potential for evaluating semantic quality aspects, such as coherence between identifier names, comments, and documentation with code purpose. Further research is needed to compare these evaluations with human assessments and explore real-world application limitations, including cost factors. ",""
"Is Your AI-Generated Code Really Secure? Evaluating Large Language
  Models on Secure Code Generation with CodeSecEval","https://scispace.com/paper/is-your-ai-generated-code-really-secure-evaluating-large-4nzie845ny","2024","Journal Article","","Jie‐Xin Wang
Xitong Luo
Liuwen Cao
HE Hua-nan
Hailin Huang
Jiayuan Xie
Adam Jatowt
Yi Cai","10.48550/arxiv.2407.02395","","Large language models (LLMs) have brought significant advancements to code generation and code repair, benefiting both novice and experienced developers. However, their training using unsanitized data from open-source repositories, like GitHub, raises the risk of inadvertently propagating security vulnerabilities. Despite numerous studies investigating the safety of code LLMs, there remains a gap in comprehensively addressing their security features. In this work, we aim to present a comprehensive study aimed at precisely evaluating and enhancing the security aspects of code LLMs. To support our research, we introduce CodeSecEval, a meticulously curated dataset designed to address 44 critical vulnerability types with 180 distinct samples. CodeSecEval serves as the foundation for the automatic evaluation of code models in two crucial tasks: code generation and code repair, with a strong emphasis on security. Our experimental results reveal that current models frequently overlook security issues during both code generation and repair processes, resulting in the creation of vulnerable code. In response, we propose different strategies that leverage vulnerability-aware information and insecure code explanations to mitigate these security vulnerabilities. Furthermore, our findings highlight that certain vulnerability types particularly challenge model performance, influencing their effectiveness in real-world applications. Based on these findings, we believe our study will have a positive impact on the software engineering community, inspiring the development of improved methods for training and utilizing LLMs, thereby leading to safer and more trustworthy model deployment. ","This study evaluates the security of AI-generated code using CodeSecEval, a dataset of 180 samples with 44 critical vulnerability types, revealing current models frequently overlook security issues during code generation and repair, and proposes strategies to mitigate these vulnerabilities."
"Exploring the Limits of ChatGPT in Software Security Applications","https://scispace.com/paper/exploring-the-limits-of-chatgpt-in-software-security-1he0euy86a","2023","Journal Article","arXiv.org","Fangzhou Wu
Qingzhao Zhang
Ati Priya Bajaj
Tiffany Bao
Ning Zhang
Ruoyu Wang
Chaowei Xiao","10.48550/arxiv.2312.05275","","Large language models (LLMs) have undergone rapid evolution and achieved remarkable results in recent times. OpenAI's ChatGPT, backed by GPT-3.5 or GPT-4, has gained instant popularity due to its strong capability across a wide range of tasks, including natural language tasks, coding, mathematics, and engaging conversations. However, the impacts and limits of such LLMs in system security domain are less explored. In this paper, we delve into the limits of LLMs (i.e., ChatGPT) in seven software security applications including vulnerability detection/repair, debugging, debloating, decompilation, patching, root cause analysis, symbolic execution, and fuzzing. Our exploration reveals that ChatGPT not only excels at generating code, which is the conventional application of language models, but also demonstrates strong capability in understanding user-provided commands in natural languages, reasoning about control and data flows within programs, generating complex data structures, and even decompiling assembly code. Notably, GPT-4 showcases significant improvements over GPT-3.5 in most security tasks. Also, certain limitations of ChatGPT in security-related tasks are identified, such as its constrained ability to process long code contexts.","The exploration reveals that ChatGPT not only excels at generating code, which is the conventional application of language models, but also demonstrates strong capability in understanding user-provided commands in natural languages, reasoning about control and data flows within programs, generating complex data structures, and even decompiling assembly code."
"LLMs in Web-Development: Evaluating LLM-Generated PHP code unveiling vulnerabilities and limitations","https://scispace.com/paper/llms-in-web-development-evaluating-llm-generated-php-code-1yjcte11ca","2024","Journal Article","arXiv.org","Rebeka T'oth
Tamas Bisztray
L'aszl'o Erdodi","10.48550/arxiv.2404.14459","","This study evaluates the security of web application code generated by Large Language Models, analyzing 2,500 GPT-4 generated PHP websites. These were deployed in Docker containers and tested for vulnerabilities using a hybrid approach of Burp Suite active scanning, static analysis, and manual review. Our investigation focuses on identifying Insecure File Upload, SQL Injection, Stored XSS, and Reflected XSS in GPT-4 generated PHP code. This analysis highlights potential security risks and the implications of deploying such code in real-world scenarios. Overall, our analysis found 2,440 vulnerable parameters. According to Burp's Scan, 11.56% of the sites can be straight out compromised. Adding static scan results, 26% had at least one vulnerability that can be exploited through web interaction. Certain coding scenarios, like file upload functionality, are insecure 78% of the time, underscoring significant risks to software safety and security. To support further research, we have made the source codes and a detailed vulnerability record for each sample publicly available. This study emphasizes the crucial need for thorough testing and evaluation if generative AI technologies are used in software development.","LLMs in web-development generate vulnerable PHP code with significant security risks. The study identified numerous vulnerabilities including Insecure File Upload, SQL Injection, Stored XSS, and Reflected XSS. Overall, 2,440 vulnerable parameters and 11.56% compromised sites were found."
"VulnLLMEval: A Framework for Evaluating Large Language Models in Software Vulnerability Detection and Patching","https://scispace.com/paper/vulnllmeval-a-framework-for-evaluating-large-language-models-5pnghj7njmc6","2024","Journal Article","arXiv.org","Arastoo Zibaeirad
Marco Vieira","10.48550/arxiv.2409.10756","","Large Language Models (LLMs) have shown promise in tasks like code translation, prompting interest in their potential for automating software vulnerability detection (SVD) and patching (SVP). To further research in this area, establishing a benchmark is essential for evaluating the strengths and limitations of LLMs in these tasks. Despite their capabilities, questions remain regarding whether LLMs can accurately analyze complex vulnerabilities and generate appropriate patches. This paper introduces VulnLLMEval, a framework designed to assess the performance of LLMs in identifying and patching vulnerabilities in C code. Our study includes 307 real-world vulnerabilities extracted from the Linux kernel, creating a well-curated dataset that includes both vulnerable and patched code. This dataset, based on real-world code, provides a diverse and representative testbed for evaluating LLM performance in SVD and SVP tasks, offering a robust foundation for rigorous assessment. Our results reveal that LLMs often struggle with distinguishing between vulnerable and patched code. Furthermore, in SVP tasks, these models tend to oversimplify the code, producing solutions that may not be directly usable without further refinement.","VulnLLMEval introduces a framework for evaluating Large Language Models in software vulnerability detection and patching, assessing their performance on 307 real-world Linux kernel vulnerabilities, revealing struggles with distinguishing between vulnerable and patched code."
"Developer Behaviors in Validating and Repairing LLM-Generated Code Using IDE and Eye Tracking","https://scispace.com/paper/developer-behaviors-in-validating-and-repairing-llm-66rf3n5ua10y","2024","Journal Article","","Ningzhi Tang
Meng Chen
Ning Zheng
Aakash Bansal
Yu Huang
Collin McMillan
Toby Jia-Jun Li","10.1109/vl/hcc60511.2024.00015","","The increasing use of large language model (LLM)-powered code generation tools, such as GitHub Copilot, is transforming software engineering practices. This paper investigates how developers validate and repair code generated by Copilot and examines the impact of code provenance awareness during these processes. We conducted a lab study with 28 participants tasked with validating and repairing Copilot-generated code in three software projects. Participants were randomly divided into two groups: one informed about the provenance of LLM-generated code and the other not. We collected data on IDE interactions, eye-tracking, cognitive workload assessments, and conducted semi-structured interviews. Our results indicate that, without explicit information, developers often fail to identify the LLM origin of the code. Developers exhibit LLM-specific behaviors such as frequent switching between code and comments, different attentional focus, and a tendency to delete and rewrite code. Being aware of the code’s provenance led to improved performance, increased search efforts, more frequent Copilot usage, and higher cognitive workload. These findings enhance our understanding of developer interactions with LLM-generated code and inform the design of tools for effective human-LLM collaboration in software development.","This study investigates developer behaviors when validating and repairing LLM-generated code, finding that awareness of code provenance improves performance, but also increases cognitive workload and search efforts, with LLM-specific behaviors exhibited in IDE interactions and eye-tracking data."
"How and Why LLMs Use Deprecated APIs in Code Completion? An Empirical
  Study","https://scispace.com/paper/how-and-why-llms-use-deprecated-apis-in-code-completion-an-2pt6gw8ery","2024","Preprint","","Pengfei Dang
Kaifeng Huang
Jian Zhang
Yebo Feng
Lyuye Zhang
Yang Liu
Xin Peng","10.48550/arxiv.2406.09834","","Large language models (LLMs), pre-trained or fine-tuned on large code corpora, have shown effectiveness in generating code completions. However, in LLM-based code completion, LLMs may struggle to use correct and up-to-date Application Programming Interfaces (APIs) due to the rapid and continuous evolution of libraries. While existing studies have highlighted issues with predicting incorrect APIs, the specific problem of deprecated API usage in LLM-based code completion has not been thoroughly investigated. To address this gap, we conducted the first evaluation study on deprecated API usage in LLM-based code completion. This study involved seven advanced LLMs, 145 API mappings from eight popular Python libraries, and 28,125 completion prompts. The study results reveal the \textit{status quo} and \textit{root causes} of deprecated API usage in LLM-based code completion from the perspectives of \textit{model}, \textit{prompt}, and \textit{library}. Based on these findings, we propose two lightweight fixing approaches, \textsc{ReplaceAPI} and \textsc{InsertPrompt}, which can serve as baseline approaches for future research on mitigating deprecated API usage in LLM-based completion. Additionally, we provide implications for future research on integrating library evolution with LLM-driven software development. ","The usage of deprecated APIs in LLM-based code completion is a significant issue that has not been thoroughly investigated. This study explores the problem and provides empirical evidence on the prevalence and root causes of deprecated API usage in LLM-based code completion."
"What's Wrong with Your Code Generated by Large Language Models? An
  Extensive Study","https://scispace.com/paper/what-s-wrong-with-your-code-generated-by-large-language-5bee5ant8v","2024","Journal Article","","Shihan Dou
Haoxiang Jia
Stephen Y. Wu
Haiyang Zheng
Weikang Zhou
Meining Wu
Minwei Chai
Jessica Fan
Caishuang Huang
Yunbo Tao
Yan Liu
Enyu Zhou
Ming Zhang
Yuhao Zhou
Yueming Wu
Rui Zheng
Ming Wen
Rongxiang Weng
Jingang Wang
Xunliang Cai
Tao Gui
Xipeng Qiu
Qi Zhang
Xuanjing Huang","10.48550/arxiv.2407.06153","","The increasing development of large language models (LLMs) in code generation has drawn significant attention among researchers. To enhance LLM-based code generation ability, current efforts are predominantly directed towards collecting high-quality datasets and leveraging diverse training technologies. However, there is a notable lack of comprehensive studies examining the limitations and boundaries of these existing methods. To bridge this gap, we conducted an extensive empirical study evaluating the performance of three leading closed-source LLMs and four popular open-source LLMs on three commonly used benchmarks. Our investigation, which evaluated the length, cyclomatic complexity and API number of the generated code, revealed that these LLMs face challenges in generating successful code for more complex problems, and tend to produce code that is shorter yet more complicated as compared to canonical solutions. Additionally, we developed a taxonomy of bugs for incorrect codes that includes three categories and 12 sub-categories, and analyze the root cause for common bug types. Furthermore, to better understand the performance of LLMs in real-world projects, we manually created a real-world benchmark comprising 140 code generation tasks. Our analysis highlights distinct differences in bug distributions between actual scenarios and existing benchmarks. Finally, we propose a novel training-free iterative method that introduces self-critique, enabling LLMs to critique and correct their generated code based on bug types and compiler feedback. Experimental results demonstrate that our approach can significantly mitigate bugs and increase the passing rate by 29.2% after two iterations, indicating substantial potential for LLMs to handle more complex problems. ","This study evaluates the limitations of large language models (LLMs) in code generation, revealing challenges in generating complex code and producing shorter yet more complicated code. A novel training-free method is proposed to mitigate bugs and improve LLM performance."
"Examining Zero-Shot Vulnerability Repair with Large Language Models","https://scispace.com/paper/examining-zero-shot-vulnerability-repair-with-large-language-48wb9f9dyz","2023","Journal Article","","Hammond Pearce
Benjamin Tan
Baleegh Ahmad
Ramesh Karri
Brendan Dolan-Gavitt","10.1109/sp46215.2023.10179420","","Human developers can produce code with cybersecurity bugs. Can emerging ‘smart’ code completion tools help repair those bugs? In this work, we examine the use of large language models (LLMs) for code (such as OpenAI’s Codex and AI21’s Jurassic J-1) for zero-shot vulnerability repair. We investigate challenges in the design of prompts that coax LLMs into generating repaired versions of insecure code. This is difficult due to the numerous ways to phrase key information— both semantically and syntactically—with natural languages. We perform a large scale study of five commercially available, black-box, ""off-the-shelf"" LLMs, as well as an open-source model and our own locally-trained model, on a mix of synthetic, hand-crafted, and real-world security bug scenarios. Our experiments demonstrate that while the approach has promise (the LLMs could collectively repair 100% of our synthetically generated and hand-crafted scenarios), a qualitative evaluation of the model’s performance over a corpus of historical real-world examples highlights challenges in generating functionally correct code. ","Examining zero-shot vulnerability repair with large language models reveals challenges in designing prompts and generating functionally correct code."
"Using Large Language Models to Better Detect and Handle Software Vulnerabilities and Cyber Security Threats","https://scispace.com/paper/using-large-language-models-to-better-detect-and-handle-2o34zs1yiq","2024","Preprint","","Seyed Farid Taghavi
Farid Feyzi","10.21203/rs.3.rs-4387414/v1","","<title>Abstract</title> Large Language Models (LLMs) have emerged as powerful tools in the domain of software vulnerability and cybersecurity tasks, offering promising capabilities in detecting and handling security threats. This article explores the utilization of LLMs in various aspects of cybersecurity, including vulnerability detection, threat prediction, and automated code repair. We explain the concept of LLMs, highlighting their various applications, and evaluates their effectiveness and challenges through literature review. We explore the effectiveness of various LLMs across different cybersecurity domains, showcasing their proficiency in tasks like malware detection and code summarization. Comparing LLMs to traditional methods, our work highlights their superior performance in identifying vulnerabilities and proposing fixes. Furthermore, we outline the workflow of LLM models, emphasizing their integration into cyber threat detection frameworks and incident response systems. We also discuss complementary methods and tools that enhance LLMs' capabilities, including static and dynamic code analyzers. Additionally, we synthesize findings from previous research, demonstrating how the utilization of LLMs has significantly enhanced productivity in identifying and addressing software vulnerabilities and cybersecurity threats. Finally, the study offers insights into optimizing the implementation of LLMs based on the lessons learned from existing literature. ","LLMs are highly effective in detecting and handling software vulnerabilities and cybersecurity threats, offering superior performance over traditional methods. They are widely used in various cybersecurity tasks such as vulnerability detection, threat prediction, and automated code repair."
