"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"SOK: Exploring Hallucinations and Security Risks in AI-Assisted Software Development with Insights for LLM Deployment","https://scispace.com/paper/sok-exploring-hallucinations-and-security-risks-in-ai-a6bh3iq5bp28","2025","Journal Article","","Mohd Ariful Haque
Sunzida Siddique
Md Mahfuzur Rahman
Ahmed Rafi Hasan
laxmi rani das
Marufa Kamal
Khalil Sujaee
Kishor Datta Gupta
Roy George","10.1109/idsta66210.2025.11202778","","",""
"Guidelines for Empirical Studies in Software Engineering involving Large Language Models","https://scispace.com/paper/guidelines-for-empirical-studies-in-software-engineering-nm3qyfnxjxyc","2025","Journal Article","arXiv.org","Sebastian Baltes
Florian Angermeir
Chetan Arora
Marvin Munoz Bar'on
Chunyang Chen
Lukas Böhme
Fabio Calefato
Neil Ernst
Davide Falessi
Brian Fitzgerald
Davide Fucci
Marcos Kalinowski
Stefano Lambiase
Daniel Russo
Mircea Lungu
Lutz Prechelt
Paul Ralph
Christoph Treude
Stefan Wagner","10.48550/arxiv.2508.15503","","Large language models (LLMs) are increasingly being integrated into software engineering (SE) research and practice, yet their non-determinism, opaque training data, and evolving architectures complicate the reproduction and replication of empirical studies. We present a community effort to scope this space, introducing a taxonomy of LLM-based study types together with eight guidelines for designing and reporting empirical studies involving LLMs. The guidelines present essential (must) criteria as well as desired (should) criteria and target transparency throughout the research process. Our recommendations, contextualized by our study types, are: (1) to declare LLM usage and role; (2) to report model versions, configurations, and fine-tuning; (3) to document tool architectures; (4) to disclose prompts and interaction logs; (5) to use human validation; (6) to employ an open LLM as a baseline; (7) to use suitable baselines, benchmarks, and metrics; and (8) to openly articulate limitations and mitigations. Our goal is to enable reproducibility and replicability despite LLM-specific barriers to open science. We maintain the study types and guidelines online as a living resource for the community to use and shape (llm-guidelines.org).","Researchers propose a taxonomy and guidelines for empirical studies involving large language models in software engineering, emphasizing transparency and reproducibility through eight essential and desired criteria to address LLM-specific barriers to open science."
"Benchmarks and Metrics for Evaluations of Code Generation: A Critical Review","https://scispace.com/paper/benchmarks-and-metrics-for-evaluations-of-code-generation-a-j43lwusjbmj9","","","","Debalina Ghosh Paul
Hong Zhu
Ian Bayley","10.1109/aitest62860.2024.00019","","With the rapid development of Large Language Models (LLMs), a large number ofmachine learning models have been developed to assist programming tasksincluding the generation of program code from natural language input. However,how to evaluate such LLMs for this task is still an open problem despite of thegreat amount of research efforts that have been made and reported to evaluateand compare them. This paper provides a critical review of the existing work onthe testing and evaluation of these tools with a focus on two key aspects: thebenchmarks and the metrics used in the evaluations. Based on the review,further research directions are discussed.","This paper critically reviews existing benchmarks and metrics for evaluating Large Language Models (LLMs) that generate code from natural language input, highlighting gaps and suggesting future research directions for improving evaluation methods."
"An Empirical Study of Large Language Models for Type and Call Graph Analysis","https://scispace.com/paper/an-empirical-study-of-large-language-models-for-type-and-2ifr05gqh0b6","2024","Journal Article","arXiv.org","Ashwini Venkatesh
Rose Sunil
Samkutty Sabu
Amir M. Mir
Sofia Reis
Eric Bodden","10.48550/arxiv.2410.00603","","Large Language Models (LLMs) are increasingly being explored for their potential in software engineering, particularly in static analysis tasks. In this study, we investigate the potential of current LLMs to enhance call-graph analysis and type inference for Python and JavaScript programs. We empirically evaluated 24 LLMs, including OpenAI's GPT series and open-source models like LLaMA and Mistral, using existing and newly developed benchmarks. Specifically, we enhanced TypeEvalPy, a micro-benchmarking framework for type inference in Python, with auto-generation capabilities, expanding its scope from 860 to 77,268 type annotations for Python. Additionally, we introduced SWARM-CG and SWARM-JS, comprehensive benchmarking suites for evaluating call-graph construction tools across multiple programming languages. Our findings reveal a contrasting performance of LLMs in static analysis tasks. For call-graph generation in Python, traditional static analysis tools like PyCG significantly outperform LLMs. In JavaScript, the static tool TAJS underperforms due to its inability to handle modern language features, while LLMs, despite showing potential with models like mistral-large-it-2407-123b and GPT-4o, struggle with completeness and soundness in both languages for call-graph analysis. Conversely, LLMs demonstrate a clear advantage in type inference for Python, surpassing traditional tools like HeaderGen and hybrid approaches such as HiTyper. These results suggest that while LLMs hold promise in type inference, their limitations in call-graph analysis highlight the need for further research. Our study provides a foundation for integrating LLMs into static analysis workflows, offering insights into their strengths and current limitations.","This study evaluates 24 Large Language Models for type and call graph analysis in Python and JavaScript, revealing contrasting performance: LLMs excel in type inference but struggle with call-graph analysis, highlighting the need for further research."
"Are AI-Generated Fixes Secure? Analyzing LLM and Agent Patches on SWE-bench","https://scispace.com/paper/are-ai-generated-fixes-secure-analyzing-llm-and-agent-6rsyxju7xdyi","2025","Journal Article","arXiv.org","Amirali Sajadi
Kostadin Damevski
Preetha Chatterjee","10.48550/arxiv.2507.02976","","Large Language Models (LLMs) and their agentic frameworks are increasingly adopted to automate software development tasks such as issue resolution and program repair. While prior work has identified security risks in LLM-generated code, most evaluations have focused on synthetic or isolated settings, leaving open questions about the security of these systems in real-world development contexts. In this study, we present the first large-scale security analysis of LLM-generated patches using 20,000+ issues from the SWE-bench dataset. We evaluate patches produced by a standalone LLM (Llama 3.3) and compare them to developer-written patches. We also assess the security of patches generated by three top-performing agentic frameworks (OpenHands, AutoCodeRover, HoneyComb) on a subset of our data. Finally, we analyze a wide range of code, issue, and project-level factors to understand the conditions under which LLMs and agents are most likely to generate insecure code. Our findings reveal that the standalone LLM introduces nearly 9x more new vulnerabilities than developers, with many of these exhibiting unique patterns not found in developers'code. Agentic workflows also generate a significant number of vulnerabilities, particularly when granting LLMs more autonomy, potentially increasing the likelihood of misinterpreting project context or task requirements. We find that vulnerabilities are more likely to occur in LLM patches associated with a higher number of files, more lines of generated code, and GitHub issues that lack specific code snippets or information about the expected code behavior and steps to reproduce. These results suggest that contextual factors play a critical role in the security of the generated code and point toward the need for proactive risk assessment methods that account for both code and issue-level information to complement existing vulnerability detection tools.","This study evaluates the security of AI-generated patches using 20,000+ issues from SWE-bench, finding that standalone LLMs introduce nearly 9x more new vulnerabilities than developers, with agentic workflows also generating significant vulnerabilities, particularly with increased autonomy."
"A Comprehensive Study of LLM and Evolution, Varieties, and Their Role in Software Engineering and Cybersecurity","https://scispace.com/paper/a-comprehensive-study-of-llm-and-evolution-varieties-and-8o9rgvonfpi0","2025","Journal Article","","Hossain Rasel
Abu Bakar Siddik Didar
Abdullah Al Mamun Dinar
Foisal Islam Fahad
Muhammad Aamir Khan
Md. Badiuzzaman Biplob","10.20944/preprints202507.1600.v1","","The quick growth of Large Language Models (LLMs) signals a major change in artificial intelligence, especially in understanding and generating natural language. Even as these models become more popular, there is still not enough analysis connecting their design with practical uses in software engineering and cybersecurity. This paper aims to fill that gap by examining the basic functions of LLMs, including tokenization, self-attention, transformer architectures, and large-scale pretraining. We trace their development from earlier models like BERT and GPT-2 to modern multimodal and instruction-tuned models like GPT-4. Using a mixed-method approach, we look at benchmarking frameworks and evaluation metrics that focus on accuracy, reasoning, safety, and reliability. Our findings reveal important trends such as model specialization, memory improvement, and better alignment strategies, which together improve scalability and generalizability. We also explore how LLMs act as intelligent agents in software development tasks, including code generation, refactoring, debugging, and gathering requirements. They play crucial roles in cybersecurity, such as threat analysis and automated defense systems. In addition, we address current challenges like hallucination, data leaks, and vulnerabilities. We suggest future directions that focus on reliability, adaptation to different domains, and ethical use. This work provides a well-rounded and current view of LLMs, linking theory to practice in new AI-driven areas. ","This study examines the evolution, varieties, and practical applications of Large Language Models (LLMs) in software engineering and cybersecurity, highlighting trends in model specialization, memory improvement, and alignment strategies, and exploring their roles in code generation, threat analysis, and automated defense systems."
"SoK: Exploring Hallucinations and Security Risks in AI-Assisted Software Development With Insights for LLM Deployment","https://scispace.com/paper/sok-exploring-hallucinations-and-security-risks-in-ai-oyn4hmedb97v","2025","Journal Article","","Ariful Haque
Sunzida Siddique
Md Mahfuzur Rahman
Hasan, Ahmed Rafi
Laxmi Rani
Das
Marufa Kamal
Kishor Datta Gupta","10.13140/rg.2.2.16796.60803","","",""
"How much SPACE do metrics have in GenAI assisted software development?","https://scispace.com/paper/how-much-space-do-metrics-have-in-genai-assisted-software-1vpc23000z","","Journal Article","","Samarth Sikand
Kanchanjot Kaur Phokela
Kapil Singi
Vikrant Kaulgud
Teresa Tung
Adam P. Burden","10.1145/3641399.3641419","","Large Language Models (LLMs) are revolutionizing the way a developer creates software by replacing code with natural language prompts as primary drivers. While many initial assessments of such LLMs suggest that it helps with developer productivity, other research studies have also pointed out areas in the Software Development Life Cycle(SDLC) and developer experience where such tools fail miserably. Currently, there exist many studies dedicated to evaluation of LLM-based AI-assisted software tools but there lacks a standardization of studies and metrics which may prove to be a hindrance to adoption of metrics and reproducible studies. The primary objective of this survey is to assess the recent user studies and surveys, aimed at evaluating different aspects of developer’s experience of using code-based LLMs, and highlight any existing gaps among them. We have leveraged the SPACE framework to enumerate and categorise metrics from studies conducting some form of controlled user experiments. In Generative AI assisted SDLC, the developer’s experience should encompass the ability to perform the in-hand task efficiently and effectively, with minimal friction using these LLM tools. Our exploration has led to some critical insights regarding complete absence of user studies in Collaborative aspects of teams, bias towards certain LLM models & metrics and lack of diversity in metrics within productivity dimensions. We also propose some recommendations to the research community which will help bring some conformity in the evaluation of such LLMs.","The current landscape of studies evaluating LLM-based AI-assisted software tools lacks standardization and metrics. There is a need to establish standardized metrics and conduct more user studies to ensure the reproducibility and validity of studies."
"Large Language Models in Code Co-generation for Safe Autonomous Vehicles","https://scispace.com/paper/large-language-models-in-code-co-generation-for-safe-wxvikr2yx53x","2025","Journal Article","","Ali Nouri
Beatriz Cabrero‐Daniel
Zhennan Fei
Krishna Ronanki
Håkan Sivencrona
Christian Berger","10.48550/arxiv.2505.19658","","Software engineers in various industrial domains are already using Large Language Models (LLMs) to accelerate the process of implementing parts of software systems. When considering its potential use for ADAS or AD systems in the automotive context, there is a need to systematically assess this new setup: LLMs entail a well-documented set of risks for safety-related systems' development due to their stochastic nature. To reduce the effort for code reviewers to evaluate LLM-generated code, we propose an evaluation pipeline to conduct sanity-checks on the generated code. We compare the performance of six state-of-the-art LLMs (CodeLlama, CodeGemma, DeepSeek-r1, DeepSeek-Coders, Mistral, and GPT-4) on four safety-related programming tasks. Additionally, we qualitatively analyse the most frequent faults generated by these LLMs, creating a failure-mode catalogue to support human reviewers. Finally, the limitations and capabilities of LLMs in code generation, and the use of the proposed pipeline in the existing process, are discussed. ","This study evaluates the use of Large Language Models (LLMs) in code co-generation for safe autonomous vehicles, proposing an evaluation pipeline to assess generated code and comparing six LLMs' performance on safety-related tasks, identifying frequent faults and limitations."
"The Current Challenges of Software Engineering in the Era of Large Language Models","https://scispace.com/paper/the-current-challenges-of-software-engineering-in-the-era-of-4c39xvkuu1cb","2025","Journal Article","ACM Transactions on Software Engineering and Methodology","Cuiyun Gao
Xing Hu
Shan Gao
Xin Xia
Zhi Jin","10.1145/3712005","","With the advent of large language models (LLMs) in the artificial intelligence (AI) area, the field of software engineering (SE) has also witnessed a paradigm shift. These models, by leveraging the power of deep learning and massive amounts of data, have demonstrated an unprecedented capacity to understand, generate, and operate programming languages. They can assist developers in completing a broad spectrum of software development activities, encompassing software design, automated programming, and maintenance, which potentially reduces huge human efforts. Integrating LLMs within the SE landscape (LLM4SE) has become a burgeoning trend, necessitating exploring this emergent landscape’s challenges and opportunities. The paper aims at revisiting the software development life cycle (SDLC) under LLMs, and highlighting challenges and opportunities of the new paradigm. The paper first summarizes the overall process of LLM4SE, and then elaborates on the current challenges based on a through discussion. The discussion was held among more than 20 participants from academia and industry, specializing in fields such as software engineering and artificial intelligence. Specifically, we achieve 26 key challenges from seven aspects, including software requirement &amp; design, coding assistance, testing code generation, code review, code maintenance, software vulnerability management, and data, training, and evaluation. We hope the achieved challenges would benefit future research in the LLM4SE field. ","This paper explores the challenges and opportunities of integrating large language models (LLMs) into software engineering (SE), revisiting the software development life cycle and identifying 26 key challenges across seven aspects, including design, coding, testing, and maintenance."
