"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Human-AI Collaboration in Software Development: A Mixed-Methods Study of Developers’ Use of GitHub Copilot and ChatGPT","https://scispace.com/paper/human-ai-collaboration-in-software-development-a-mixed-q7o3qtlrfj2d","2025","Journal Article","","Viktoria Stray
Astri Barbala
Viggo Tellefsen Wivestad","10.1145/3696630.3730566","","The integration of AI-powered coding assistants into software development presents both opportunities and challenges. These tools promise enhanced productivity and code quality while introducing significant concerns related to workflow integration, accuracy, reliability, and ethical considerations. This study investigates how software developers interact with Generative AI (GenAI) tools in a large-scale public sector organization. Using a mixed-methods approach, we analyze 13 interviews and a survey with 114 respondents to explore the impact of GitHub Copilot (IDE-integrated AI) and ChatGPT (conversational AI assistant) on software engineering workflows. The Human-AI Collaboration and Adaptation Framework (HACAF) is central to our analysis, which integrates insights from several technology acceptance models and theories. Our findings reveal that compatibility within existing workflows plays a crucial role in effectively utilizing GenAI tools. We explore individual, technological, and social factors that influence the adoption of these tools, highlighting the importance of organizational support and collective user patterns within teams. By studying both users and non-users, we provide insights into the factors driving GenAI adoption and the barriers preventing full integration. Our findings contribute to discussions on AI-enhanced IDEs, human-AI collaboration in coding, and the evolving role of LLM-based assistants in modern software development.","This mixed-methods study examines software developers' use of GitHub Copilot and ChatGPT, revealing compatibility within existing workflows as crucial for effective GenAI tool adoption, and highlighting individual, technological, and social factors influencing adoption and integration."
"Patched RTC: evaluating LLMs for diverse software development tasks","https://scispace.com/paper/patched-rtc-evaluating-llms-for-diverse-software-development-2r0hhl1gk23i","2024","Journal Article","arXiv.org","Asankhaya Sharma","10.48550/arxiv.2407.16557","","This paper introduces Patched Round-Trip Correctness (Patched RTC), a novel evaluation technique for Large Language Models (LLMs) applied to diverse software development tasks, particularly focusing on""outer loop""activities such as bug fixing, code review, and documentation updates. Patched RTC extends the original Round-Trip Correctness method to work with any LLM and downstream task, offering a self-evaluating framework that measures consistency and robustness of model responses without human intervention. The study demonstrates a correlation between Patched RTC scores and task-specific accuracy metrics, presenting it as an alternative to the LLM-as-Judge paradigm for open-domain task evaluation. We implement Patched RTC in an open-source framework called patchwork, allowing for transparent evaluation during inference across various patchflows. Experiments comparing GPT-3.5 and GPT-4 models across different software development tasks reveal that Patched RTC effectively distinguishes model performance and task difficulty. The paper also explores the impact of consistency prompts on improving model accuracy, suggesting that Patched RTC can guide prompt refinement and model selection for complex software development workflows.","This paper introduces Patched RTC, a novel evaluation technique for Large Language Models (LLMs) in software development tasks, measuring consistency and robustness without human intervention, and demonstrates its effectiveness in distinguishing model performance and task difficulty."
"A Comprehensive Empirical Evaluation of Agent Frameworks on Code-centric Software Engineering Tasks","https://scispace.com/paper/a-comprehensive-empirical-evaluation-of-agent-frameworks-on-3jiplihzfufj","2025","Journal Article","","Yin, Zhuowen
Gao Cui-feng
Fan Chunsong
Yang Wen-zhang
Xue, Yinxing
Zhang, Lijun","10.48550/arxiv.2511.00872","","Unlike traditional automation tools or static LLM-based systems, agents combine decision-making and tool utilization to accomplish complex tasks, showing great potential in software engineering. However, existing studies largely focus on specific tasks or isolated aspects, providing an incomplete picture of agents' practical capabilities. To address this, we conduct a comprehensive empirical study evaluating seven general-purpose agent frameworks across three representative code-centric tasks: software development, vulnerability detection, and program repair. Each task is assessed using standard, widely adopted benchmarks to ensure objective and comparable evaluation. Agent performance is systematically analyzed from three complementary perspectives: effectiveness (task success), efficiency (execution process), and overhead (token consumption). Our findings reveal distinct capability patterns and trade-offs among the evaluated frameworks. In terms of effectiveness, agents achieve moderate overall performance. Regarding efficiency, AgentOrchestra tends to exhibit the longest trajectories and the most correction attempts due to coordination overhead, whereas OpenHands demonstrate stronger reflective reasoning abilities. For overhead, software development incurs the highest monetary cost, while GPTswarm remains the most cost-efficient. Furthermore, we conduct an in-depth cross-analysis of the relationship between effectiveness and efficiency, exploring the underlying reasons behind their interplay. These findings guide both practical adoption and future research toward more efficient software engineering agents. ",""
"Benchmarking ChatGPT, Codeium, and GitHub Copilot: A Comparative Study
  of AI-Driven Programming and Debugging Assistants","https://scispace.com/paper/benchmarking-chatgpt-codeium-and-github-copilot-a-3xdh28sizadi","2024","Journal Article","","Md Sultanul Islam Ovi
Najam Akber Anjum
Tasmina Haque Bithe
Mohammad Masudur Rahman
Mst. Shahnaj Akter Smrity","10.48550/arxiv.2409.19922","","With the increasing adoption of AI-driven tools in software development, large language models (LLMs) have become essential for tasks like code generation, bug fixing, and optimization. Tools like ChatGPT, GitHub Copilot, and Codeium provide valuable assistance in solving programming challenges, yet their effectiveness remains underexplored. This paper presents a comparative study of ChatGPT, Codeium, and GitHub Copilot, evaluating their performance on LeetCode problems across varying difficulty levels and categories. Key metrics such as success rates, runtime efficiency, memory usage, and error-handling capabilities are assessed. GitHub Copilot showed superior performance on easier and medium tasks, while ChatGPT excelled in memory efficiency and debugging. Codeium, though promising, struggled with more complex problems. Despite their strengths, all tools faced challenges in handling harder problems. These insights provide a deeper understanding of each tool's capabilities and limitations, offering guidance for developers and researchers seeking to optimize AI integration in coding workflows. ","This study compares ChatGPT, Codeium, and GitHub Copilot on LeetCode problems, evaluating success rates, runtime efficiency, memory usage, and error-handling capabilities, revealing strengths and limitations of each tool in AI-driven programming and debugging."
"The Design Space of in-IDE Human-AI Experience","https://scispace.com/paper/the-design-space-of-in-ide-human-ai-experience-26xfe6gfnrdq","2024","Journal Article","","Agnia Sergeyuk
Ekaterina Koshchenko
Ilya Zakharov
Timofey Bryksin
Maliheh Izadi","10.48550/arxiv.2410.08676","","Nowadays, integration of AI-driven tools within Integrated Development Environments (IDEs) is reshaping the software development lifecycle. Existing research highlights that users expect these tools to be efficient, context-aware, accurate, user-friendly, customizable, and secure. However, a major gap remains in understanding developers' needs and challenges, particularly when interacting with AI systems in IDEs and from the perspectives of different user groups. In this work, we address this gap through structured interviews with 35 developers from three different groups: Adopters, Churners, and Non-Users of AI in IDEs to create a comprehensive Design Space of in-IDE Human-AI Experience. Our results highlight key areas of Technology Improvement, Interaction, and Alignment in in-IDE AI systems, as well as Simplifying Skill Building and Programming Tasks. Our key findings stress the need for AI systems that are more personalized, proactive, and reliable. We also emphasize the importance of context-aware and privacy-focused solutions and better integration with existing workflows. Furthermore, our findings show that while Adopters appreciate advanced features and non-interruptive integration, Churners emphasize the need for improved reliability and privacy. Non-Users, in contrast, focus on skill development and ethical concerns as barriers to adoption. Lastly, we provide recommendations for industry practitioners aiming to enhance AI integration within developer workflows. ","This study explores the design space of in-IDE human-AI experience through interviews with 35 developers, highlighting key areas for improvement, including technology, interaction, alignment, and skill building, with a focus on personalization, reliability, and context-awareness."
"Library Hallucinations in LLMs: Risk Analysis Grounded in Developer Queries","https://scispace.com/paper/library-hallucinations-in-llms-risk-analysis-grounded-in-g7nvvsm144m9","2025","Journal Article","","Zhang, Jie M.
Harman, Mark
Yannakoudakis, Helen","10.48550/arxiv.2509.22202","","Large language models (LLMs) are increasingly used to generate code, yet they continue to hallucinate, often inventing non-existent libraries. Such library hallucinations are not just benign errors: they can mislead developers, break builds, and expose systems to supply chain threats such as slopsquatting. Despite increasing awareness of these risks, little is known about how real-world prompt variations affect hallucination rates. Therefore, we present the first systematic study of how user-level prompt variations impact library hallucinations in LLM-generated code. We evaluate six diverse LLMs across two hallucination types: library name hallucinations (invalid imports) and library member hallucinations (invalid calls from valid libraries). We investigate how realistic user language extracted from developer forums and how user errors of varying degrees (one- or multi-character misspellings and completely fake names/members) affect LLM hallucination rates. Our findings reveal systemic vulnerabilities: one-character misspellings in library names trigger hallucinations in up to 26% of tasks, fake library names are accepted in up to 99% of tasks, and time-related prompts lead to hallucinations in up to 84% of tasks. Prompt engineering shows promise for mitigating hallucinations, but remains inconsistent and LLM-dependent. Our results underscore the fragility of LLMs to natural prompt variation and highlight the urgent need for safeguards against library-related hallucinations and their potential exploitation. ",""
"Prompting in Practice: Investigating Software Developers' Use of Generative AI Tools","https://scispace.com/paper/prompting-in-practice-investigating-software-developers-use-4nargy5xo338","2025","Journal Article","","Otten, Daniel
Chaparro, Oscar
Poshyvanyk, Denys","10.48550/arxiv.2510.06000","","The integration of generative artificial intelligence (GenAI) tools has fundamentally transformed software development. Although prompt engineering has emerged as a critical skill, existing research focuses primarily on individual techniques rather than software developers' broader workflows. This study presents a systematic investigation of how software engineers integrate GenAI tools into their professional practice through a large-scale survey examining prompting strategies, conversation patterns, and reliability assessments across various software engineering tasks. We surveyed 91 software engineers, including 72 active GenAI users, to understand AI usage patterns throughout the development process. Our 14 key findings show that while code generation is nearly universal, proficiency strongly correlates with using AI for more nuanced tasks such as debugging and code review, and that developers prefer iterative multi-turn conversations to single-shot prompting. Documentation tasks are perceived as most reliable, while complex code generation and debugging present sizable challenges. Our insights provide an empirical baseline of current developer practices, from simple code generation to deeper workflow integration, with actionable insights for future improvements. ",""
"AI-Assisted Code Authoring at Scale: Fine-Tuning, Deploying, and Mixed Methods Evaluation","https://scispace.com/paper/ai-assisted-code-authoring-at-scale-fine-tuning-deploying-58uzzey3u2","2024","Journal Article","","Vijayaraghavan Murali
Chandra Maddila
Imad Ahmad
Michael Bolin
Daniel Cheng
Negar Ghorbani
Renuka Fernandez
Nachiappan Nagappan
Peter C. Rigby","10.1145/3643774","","Generative LLMs have been shown to effectively power AI-based code authoring tools that can suggest entire statements or blocks of code during code authoring. In this paper we present CodeCompose, an AI-assisted code authoring tool developed and deployed at Meta internally. CodeCompose is based on the InCoder LLM that merges generative capabilities with bi-directionality. We have scaled up CodeCompose to serve tens of thousands of developers at Meta, across 9 programming languages and several coding surfaces. We present our experience in making design decisions about the model and system architecture for CodeCompose that addresses these challenges. To release a LLM model at this scale, we needed to first ensure that it is sufficiently accurate. In a random sample of 20K source code files, depending on the language, we are able to reproduce hidden lines between 40% and 58% of the time, an improvement of 1.4× and 4.1× over a model trained only on public data. We gradually rolled CodeCompose out to developers. At the time of this writing, 16K developers have used it with 8% of their code coming directly from CodeCompose. To triangulate our numerical findings, we conduct a thematic analysis on the feedback from 70 developers. We find that 91.5% of the feedback is positive, with the most common themes being discovering APIs, dealing with boilerplate code, and accelerating coding. Meta continues to integrate this feedback into CodeCompose. ","Researchers present CodeCompose, an AI-assisted code authoring tool, developed and deployed at Meta, leveraging a fine-tuned LLM to suggest code, achieving 40-58% accuracy in reproducing hidden lines, with 91.5% positive feedback from 70 developers."
"The Role of Generative AI in Software Development Productivity: A Pilot
  Case Study","https://scispace.com/paper/the-role-of-generative-ai-in-software-development-aqbqjwmnc1","2024","Preprint","","Mariana Coutinho
Leila Soares Marques
André Soares Santos
Márcio Dahia
César França
Ronnie de Souza Santos","10.48550/arxiv.2406.00560","","With software development increasingly reliant on innovative technologies, there is a growing interest in exploring the potential of generative AI tools to streamline processes and enhance productivity. In this scenario, this paper investigates the integration of generative AI tools within software development, focusing on understanding their uses, benefits, and challenges to software professionals, in particular, looking at aspects of productivity. Through a pilot case study involving software practitioners working in different roles, we gathered valuable experiences on the integration of generative AI tools into their daily work routines. Our findings reveal a generally positive perception of these tools in individual productivity while also highlighting the need to address identified limitations. Overall, our research sets the stage for further exploration into the evolving landscape of software development practices with the integration of generative AI tools. ","The integration of generative AI tools in software development can enhance individual productivity, but also presents challenges."
"Toward Bridging the Tool Gap: Equipping Large Language Models with Tools to Answer Programmers’ Questions","https://scispace.com/paper/toward-bridging-the-tool-gap-equipping-large-language-models-e0coiirtdxi1","2025","Journal Article","","Lukas Böhme
Christoph Thiede
Toni Mattis
Tom Beckmann
Jens Lincke
Robert Hirschfeld","10.1145/3759534.3762682","","Programmers ask complex questions in their search for solutions during software development. Along with traditional tools such as debuggers and profilers, state-of-the-art approaches like Babylonian Programming can help programmers answer those questions through interactive and visual feedback. Large language models (LLMs) and programming agents are part of programmers' toolboxes and are well-integrated into their development workflows. However, they are not yet helpful in considering questions involving run-time behavior. In this paper, we first review the literature to identify concerns programmers face during development and highlight how humans usually address them. We then focus on questions about program behavior and propose integrating Babylonian-style programming techniques with LLMs to help answer related questions. Finally, we suggest four key properties that future LLM-based development tools should support: (1) LLM tool usage traceability for explainability, (2) resumability of development progress for handovers between human programmers and LLM-based programming agents, (3) context efficiency through selective data querying, and (4) multi-source synthesis for tool integration.","This paper proposes integrating Babylonian-style programming techniques with large language models to help programmers answer questions about program behavior, and identifies four key properties for future LLM-based development tools to support."
