"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Human-AI Collaboration in Software Development: A Mixed-Methods Study of Developers’ Use of GitHub Copilot and ChatGPT","https://scispace.com/paper/human-ai-collaboration-in-software-development-a-mixed-q7o3qtlrfj2d","2025","Journal Article","","Viktoria Stray
Astri Barbala
Viggo Tellefsen Wivestad","10.1145/3696630.3730566","","The integration of AI-powered coding assistants into software development presents both opportunities and challenges. These tools promise enhanced productivity and code quality while introducing significant concerns related to workflow integration, accuracy, reliability, and ethical considerations. This study investigates how software developers interact with Generative AI (GenAI) tools in a large-scale public sector organization. Using a mixed-methods approach, we analyze 13 interviews and a survey with 114 respondents to explore the impact of GitHub Copilot (IDE-integrated AI) and ChatGPT (conversational AI assistant) on software engineering workflows. The Human-AI Collaboration and Adaptation Framework (HACAF) is central to our analysis, which integrates insights from several technology acceptance models and theories. Our findings reveal that compatibility within existing workflows plays a crucial role in effectively utilizing GenAI tools. We explore individual, technological, and social factors that influence the adoption of these tools, highlighting the importance of organizational support and collective user patterns within teams. By studying both users and non-users, we provide insights into the factors driving GenAI adoption and the barriers preventing full integration. Our findings contribute to discussions on AI-enhanced IDEs, human-AI collaboration in coding, and the evolving role of LLM-based assistants in modern software development.","This mixed-methods study examines software developers' use of GitHub Copilot and ChatGPT, revealing compatibility within existing workflows as crucial for effective GenAI tool adoption, and highlighting individual, technological, and social factors influencing adoption and integration."
"An Industry Case Study on Adoption of AI-based Programming Assistants","https://scispace.com/paper/an-industry-case-study-on-adoption-of-ai-based-programming-jb8cx2fxso","2024","Journal Article","","Nicole Davila
Igor Wiese
Igor Steinmacher
Lucas L. da Silva
André Luiz Satoshi Kawamoto
Gilson Jose Peres Favaro
Ingrid Nunes","10.1145/3639477.3643648","","Programming assistants based on artificial intelligence (AI), such as ChatGPT and GitHub Copilot, have gained worldwide popularity recently. Studies in software development have explored the adoption of these tools, investigating their characteristics and impacts and how practitioners interact and perceive them. To contribute to this growing body of knowledge, in this study, we aim to explore the adoption of AI-based programming assistants in the Brazilian industry. More specifically, we aim to understand how practitioners of a particular Brazilian agroindustry-related company perceive and use AI-based tools to develop software. Using an online survey, we collected and analyzed 72 responses from employees of the studied company. Our findings suggest that practitioners mainly adopt ChatGPT and GitHub Copilot, interacting with these tools to accelerate online searching, typing, and syntax recall. A recurrent difficulty is the lack of context in the suggestions provided by these tools, but participants work on detailed descriptions to contextualize and cope with this challenge. Among the reasons for not using AI-based tools, the most influential is that participants use a commercial programming language, i.e., Uniface, which these tools lack examples. Our results provide insights into the state of the practice related to AI-based programming assistants and discuss implications for practitioners and researchers. ","AI-based programming assistants are adopted in the Brazilian agroindustry-related company mainly for online searching, typing, and syntax recall. However, a recurrent difficulty is the lack of context in the suggestions provided by these tools."
"Automating the Code: Exploring AI-Powered Development Tool Github Copilot","https://scispace.com/paper/automating-the-code-exploring-ai-powered-development-tool-9jyj4cbyak2z","2025","Repository","","AzraJabeen Mohamed Ali","10.5281/zenodo.14646829","","As the demand for faster and more efficient software development grows, artificial intelligence (AI) has emerged as a transformative force in automating various aspects of coding. This paper explores the integration of AI-powered development tool Github Copilot that streamlines the coding process, enhance productivity, and assist developers in solving complex programming challenges. We examine key AI-driven technologies such as code completion, bug detection, automated refactoring, and intelligent code generation, highlighting their capabilities and applications. Additionally, we analyze the role of machine learning and natural language processing in improving software development workflows, reducing human error, and enabling better decision-making. Through case studies and real-world examples, this paper assesses the benefits and limitations of AI-powered tools in coding environments, while considering ethical implications and the future of AI in programming. Ultimately, we present a comprehensive view of how AI is revolutionizing the coding landscape, paving the way for a more efficient and innovative approach to software development. ","This paper explores AI-powered development tool Github Copilot, examining its capabilities in code completion, bug detection, and intelligent code generation, and assessing its benefits and limitations in streamlining software development workflows and reducing human error."
"Analysis of ChatGPT-Generated Codes Across Multiple Programming Languages","https://scispace.com/paper/analysis-of-chatgpt-generated-codes-across-multiple-e051diw9vute","","","","Sally Almanasra
Khaled Suwais","10.1109/access.2025.3538050","","Our research focuses on the intersection of artificial intelligence (AI) and software development, particularly the role of AI models in automating code generation. With advancements in large language models like ChatGPT, developers can now generate code from natural language prompts, a task that traditionally required significant manual input and expertise. AI-generated code promises to boost productivity by enabling faster prototyping and automating repetitive coding tasks. However, as these models are increasingly adopted in real-world applications, questions surrounding their efficiency and code quality become critical. This research investigates ChatGPT-4o, a state-of-the-art language model, and its ability to generate functional, high-quality code in different programming languages. By comparing performance between Python and Java, the study seeks to shed light on AI’s capabilities and limitations in code generation, addressing not only functional correctness but also broader software engineering concerns such as memory usage, runtime efficiency, and maintainability. The study addresses key questions related to the performance, code quality, and error management of AI-generated code by analyzing solutions for 300 data structure problems and 300 problems from the LeetCode platform. The findings reveal notable performance differences between the two languages: Java demonstrated superior runtime performance, particularly for medium and hard problems, while Python exhibited better memory efficiency across all complexity levels. The research also highlighted significant gaps in code quality, with both languages showing deficiencies in documentation and exception management. This study contributes to the literature by offering a comprehensive cross-language analysis of ChatGPT-4o’s programming capabilities, addressing a gap in the evaluation of AI-generated code performance.","This study evaluates ChatGPT-4o's code generation capabilities across Python and Java, analyzing performance, code quality, and error management for 600 problems, revealing notable differences in runtime and memory efficiency, as well as significant gaps in documentation and exception management."
"The Integration of Artificial Intelligence in Software Development: Trends, Tools, and Future Prospects","https://scispace.com/paper/the-integration-of-artificial-intelligence-in-software-lrrmlyomx7p3","2024","Repository","","Bhumeka Narra
Dheeraj Varun Kumar Reddy Buddula
Hari Hara Sudheer Patchipulusu
Navya Vattikonda
Anuj Kumar Gupta
Achuthananda Reddy Polu","10.5281/zenodo.17099155","","&lt;p&gt;&lt;span lang=""EN-US""&gt;Automation, optimization, and enhanced decision-making are just a few ways artificial intelligence (AI) changes the game across several sectors. Its applications extend across diverse fields, including healthcare, transportation, finance, education, and software engineering. This study explores the integration of AI in software engineering, highlighting its transformative role in streamlining development workflows, improving software quality, and fostering collaboration between technical and non-technical stakeholders. The rise of no-code and low-code platforms has democratized access to AI, allowing users with limited technical expertise to implement AI-powered solutions like NLP and predictive analytics. Key benefits of AI in software development include automation of repetitive tasks, early bug detection, efficient project management, and personalized user experiences. The study also discusses the current trends in AI integration, including ML, NLP, robotics, and explainable AI, while addressing the challenges. Furthermore, AI tools for software development demonstrate their impact on education and skill development. Finally, the paper explores prospects in AI-driven software development. By analyzing the current and future trends, this study provides insights into how AI can shape the next generation of software development&lt;/span&gt;&lt;span&gt;.&lt;/span&gt;&lt;/p&gt; ",""
"The Design Space of in-IDE Human-AI Experience","https://scispace.com/paper/the-design-space-of-in-ide-human-ai-experience-26xfe6gfnrdq","2024","Journal Article","","Agnia Sergeyuk
Ekaterina Koshchenko
Ilya Zakharov
Timofey Bryksin
Maliheh Izadi","10.48550/arxiv.2410.08676","","Nowadays, integration of AI-driven tools within Integrated Development Environments (IDEs) is reshaping the software development lifecycle. Existing research highlights that users expect these tools to be efficient, context-aware, accurate, user-friendly, customizable, and secure. However, a major gap remains in understanding developers' needs and challenges, particularly when interacting with AI systems in IDEs and from the perspectives of different user groups. In this work, we address this gap through structured interviews with 35 developers from three different groups: Adopters, Churners, and Non-Users of AI in IDEs to create a comprehensive Design Space of in-IDE Human-AI Experience. Our results highlight key areas of Technology Improvement, Interaction, and Alignment in in-IDE AI systems, as well as Simplifying Skill Building and Programming Tasks. Our key findings stress the need for AI systems that are more personalized, proactive, and reliable. We also emphasize the importance of context-aware and privacy-focused solutions and better integration with existing workflows. Furthermore, our findings show that while Adopters appreciate advanced features and non-interruptive integration, Churners emphasize the need for improved reliability and privacy. Non-Users, in contrast, focus on skill development and ethical concerns as barriers to adoption. Lastly, we provide recommendations for industry practitioners aiming to enhance AI integration within developer workflows. ","This study explores the design space of in-IDE human-AI experience through interviews with 35 developers, highlighting key areas for improvement, including technology, interaction, alignment, and skill building, with a focus on personalization, reliability, and context-awareness."
"The Impact of Artificial Intelligence on Programmer Jobs: Threat or Opportunity?","https://scispace.com/paper/the-impact-of-artificial-intelligence-on-programmer-jobs-2yjdptaovb70","2025","Journal Article","Jurnal Sistem Informasi","Agustia Hananto
Nadya Susanti Hasibuan
Stevi Olivia
Tukino Tukino
Elfina Novalia","10.19109/jusifo.v11i1.25082","","The integration of artificial intelligence (AI) into software development has significantly reshaped the programming profession. This study investigates the dual impact of AI—particularly Generative AI tools such as ChatGPT and Codex—on programming jobs, examining both the potential threats and emerging opportunities. Using a Systematic Literature Review (SLR) approach, 18 peer-reviewed articles published within the last five years were analyzed. The findings reveal that while AI automates routine tasks such as code generation, debugging, and testing—raising concerns about the reduction of entry-level roles—it simultaneously enables programmers to assume more strategic functions in AI integration, system design, and ethical governance. Additionally, AI fosters inclusive programming environments by empowering non-experts through accessible development tools. The study emphasizes the need for continuous skill enhancement, human–AI collaboration, and policy support to ensure sustainable adaptation. This research contributes to a deeper understanding of AI's transformative influence on programming and proposes strategies for thriving in an AI-augmented digital workforce. ","This study examines the dual impact of AI on programmer jobs, revealing both threats (routine task automation) and opportunities (strategic functions, inclusive environments, and skill enhancement) through a systematic literature review of 18 peer-reviewed articles."
"Prompting in Practice: Investigating Software Developers' Use of Generative AI Tools","https://scispace.com/paper/prompting-in-practice-investigating-software-developers-use-4nargy5xo338","2025","Journal Article","","Otten, Daniel
Chaparro, Oscar
Poshyvanyk, Denys","10.48550/arxiv.2510.06000","","The integration of generative artificial intelligence (GenAI) tools has fundamentally transformed software development. Although prompt engineering has emerged as a critical skill, existing research focuses primarily on individual techniques rather than software developers' broader workflows. This study presents a systematic investigation of how software engineers integrate GenAI tools into their professional practice through a large-scale survey examining prompting strategies, conversation patterns, and reliability assessments across various software engineering tasks. We surveyed 91 software engineers, including 72 active GenAI users, to understand AI usage patterns throughout the development process. Our 14 key findings show that while code generation is nearly universal, proficiency strongly correlates with using AI for more nuanced tasks such as debugging and code review, and that developers prefer iterative multi-turn conversations to single-shot prompting. Documentation tasks are perceived as most reliable, while complex code generation and debugging present sizable challenges. Our insights provide an empirical baseline of current developer practices, from simple code generation to deeper workflow integration, with actionable insights for future improvements. ",""
"AI-Driven Automation for Transforming the Future of Software Development","https://scispace.com/paper/ai-driven-automation-for-transforming-the-future-of-software-fj24r0eo3k9v","2025","Repository","","Laith S. Ismail
Abeer Salim Jamil
Ibraheem Hatem Mohammed Al-Dosari
Khdier Salman","10.22034/jipm.2025.728106","","ABSTRACTBackground: Artificial Intelligence (AI) has recently emerged as a transformative innovation within the software industry, disrupting conventional approaches to application development by automating tasks, refining code, and enhancing resource efficiency. Prior research indicates the effectiveness of AI-powered tools across various domains. However, contemporary studies lack a detailed analysis of the diverse sectors utilizing AI tools for software development.Objective: This article aims to identify the potential benefits and impacts of AI in software development, specifically regarding time-to-market, productivity, code quality, bug-fixing rates, resource flexibility, and developer satisfaction. The goal is to present fact-based information about AI’s impact on multiple industries and scopes of work.Methods: A mixed-methods research design was employed to analyze quantitative data from 40 projects across healthcare, financial services, retail, technology, and e-commerce industries. Data were collected using various project management tools, automated testing environments, and online questionnaires addressed to developers. The study incorporated a comparative evaluation of AI-based projects and traditional projects, with statistical analysis.Results: AI-driven software development projects demonstrated a mean reduction in time-to-market by 34.6%, an improvement in code quality by 70%, and a mean reduction in bug-fixing time by 57.7%. Productivity per sprint increased by over 70%, resource flexibility was higher (90.2% in AI projects vs. 67.8% in traditional projects), and developers reported higher satisfaction levels. These findings reinforce the concept that AI significantly enhances workflow and the achievement of optimal results.Conclusion: AI substantially improves both the speed and quality of software development. Further research should expand to explore the experiences of different sectors, the application of AI-driven tools, their differentiation, and usage, as well as the ethical considerations to promote sustainable and innovative software engineering solutions. ","This study examines AI-driven automation in software development, analyzing 40 projects across various industries, and finds significant improvements in time-to-market, code quality, productivity, and developer satisfaction, with AI projects outperforming traditional ones in multiple metrics."
"Do Generative AI Tools Ensure Green Code? An Investigative Study","https://scispace.com/paper/do-generative-ai-tools-ensure-green-code-an-investigative-69olhxftzoci","2024","Journal Article","","Samarth Sikand
Rohit Mehra
Vibhu Saujanya Sharma
Vikrant Kaulgud
Sanjay Podder
Adam P. Burden","10.1145/3643691.3648588","","Software sustainability is emerging as a primary concern, aiming to optimize resource utilization, minimize environmental impact, and promote a greener, more resilient digital ecosystem. The sustainability or ’greenness’ of software is typically determined by the adoption of sustainable coding practices. With a maturing ecosystem around generative AI, many software developers now rely on these tools to generate code using natural language prompts. Despite their potential advantages, there is a significant lack of studies on the sustainability aspects of AI-generated code. Specifically, how environmentally friendly is the AI-generated code based upon its adoption of sustainable coding practices? In this paper, we present the results of an early investigation into the sustainability aspects of AI-generated code across three popular generative AI tools — ChatGPT, BARD, and Copilot. The results highlight the default non-green behavior of tools for generating code, across multiple rules and scenarios. It underscores the need for further in-depth investigations and effective remediation strategies.CCS CONCEPTS• Social and professional topics → Sustainability; • Computing methodologies → Natural language generation.","This study investigates the sustainability of AI-generated code using ChatGPT, BARD, and Copilot, finding default non-green behavior across multiple rules and scenarios, highlighting the need for further investigation and remediation strategies."
