"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Rethinking Code Review Workflows with LLM Assistance: An Empirical Study","https://scispace.com/paper/rethinking-code-review-workflows-with-llm-assistance-an-52cht7gfm5ke","2025","Journal Article","","Cheng, Chih-Hong","10.48550/arxiv.2505.16339","","Code reviews are a critical yet time-consuming aspect of modern software development, increasingly challenged by growing system complexity and the demand for faster delivery. This paper presents a study conducted at WirelessCar Sweden AB, combining an exploratory field study of current code review practices with a field experiment involving two variations of an LLM-assisted code review tool. The field study identifies key challenges in traditional code reviews, including frequent context switching, insufficient contextual information, and highlights both opportunities (e.g., automatic summarization of complex pull requests) and concerns (e.g., false positives and trust issues) in using LLMs. In the field experiment, we developed two prototype variations: one offering LLM-generated reviews upfront and the other enabling on-demand interaction. Both utilize a semantic search pipeline based on retrieval-augmented generation to assemble relevant contextual information for the review, thereby tackling the uncovered challenges. Developers evaluated both variations in real-world settings: AI-led reviews are overall more preferred, while still being conditional on the reviewers' familiarity with the code base, as well as on the severity of the pull request. ",""
"N-Version Assessment and Enhancement of Generative AI","https://scispace.com/paper/n-version-assessment-and-enhancement-of-generative-ai-1ozj5elgkpqq","2024","Journal Article","IEEE Software","Marcus Kessel
Colin Atkinson","10.1109/ms.2024.3469388","","Generative AI (GAI) holds great potential to improve software engineering productivity, but its untrustworthy outputs, particularly in code synthesis, pose significant challenges. The need for extensive verification and validation (V&V) of GAI-generated artifacts may undermine the potential productivity gains. This paper proposes a way of mitigating these risks by exploiting GAI's ability to generate multiple versions of code and tests to facilitate comparative analysis across versions. Rather than relying on the quality of a single test or code module, this ""differential GAI"" (D-GAI) approach promotes more reliable quality evaluation through version diversity. We introduce the Large-Scale Software Observatorium (LASSO), a platform that supports D-GAI by executing and analyzing large sets of code versions and tests. We discuss how LASSO enables rigorous evaluation of GAI-generated artifacts and propose its application in both software development and GAI research. ","This paper proposes ""differential GAI"" (D-GAI) to mitigate risks of untrustworthy generative AI outputs in code synthesis by generating multiple versions and facilitating comparative analysis, leveraging the Large-Scale Software Observatorium (LASSO) platform for rigorous evaluation."
"Grounded Copilot: How Programmers Interact with Code-Generating Models","https://scispace.com/paper/grounded-copilot-how-programmers-interact-with-code-zcv6ohjz","2022","Posted Content","","","10.48550/arxiv.2206.15000","","Powered by recent advances in code-generating models, AI assistants like Github Copilot promise to change the face of programming forever. But what is this new face of programming? We present the first grounded theory analysis of how programmers interact with Copilot, based on observing 20 participants--with a range of prior experience using the assistant--as they solve diverse programming tasks across four languages. Our main finding is that interactions with programming assistants are bimodal: in acceleration mode, the programmer knows what to do next and uses Copilot to get there faster; in exploration mode, the programmer is unsure how to proceed and uses Copilot to explore their options. Based on our theory, we provide recommendations for improving the usability of future AI programming assistants. ","In this article , the authors present a grounded theory analysis of how programmers interact with Github Copilot, based on observing 20 participants with a range of prior experience using the assistant, as they solve diverse programming tasks across four languages."
"Grounded Copilot: How Programmers Interact with Code-Generating Models","https://scispace.com/paper/grounded-copilot-how-programmers-interact-with-code-1hq1r304xm","2023","Dataset","","Shraddha Barke
Michael B. James
Nadia Polikarpova","10.5281/zenodo.7713769","","Powered by recent advances in code-generating models, AI assistants like Github Copilot promise to change the face of programming forever. But what is this new face of programming? We present the first grounded theory analysis of how programmers interact with Copilot, based on observing 20 participants---with a range of prior experience using the assistant---as they solve diverse programming tasks across four languages. Our main finding is that interactions with programming assistants are bimodal: in acceleration mode, the programmer knows what to do next and uses Copilot to get there faster; in exploration mode, the programmer is unsure how to proceed and uses Copilot to explore their options. Based on our theory, we provide recommendations for improving the usability of future AI programming assistants. This artifact contains:<br> - The scripts to generate our plots - Detailed study information to re-run our user study - Livestreams that we observed and included in our dataset - Our codebook ","Programmers interact with code-generating models in bimodal ways, using them to accelerate or explore solutions."
"N-Version Assessment and Enhancement of Generative AI","https://scispace.com/paper/n-version-assessment-and-enhancement-of-generative-ai-zf3xsbrfnkj8","2024","Repository","","Atkinson Colin","10.48550/arxiv.2409.14071","","Generative AI (GAI) holds great potential to improve software engineering productivity, but its untrustworthy outputs, particularly in code synthesis, pose significant challenges. The need for extensive verification and validation (V&amp;V) of GAI-generated artifacts may undermine the potential productivity gains. This paper proposes a way of mitigating these risks by exploiting GAI's ability to generate multiple versions of code and tests to facilitate comparative analysis across versions. Rather than relying on the quality of a single test or code module, this ""differential GAI"" (D-GAI) approach promotes more reliable quality evaluation through version diversity. We introduce the Large-Scale Software Observatorium (LASSO), a platform that supports D-GAI by executing and analyzing large sets of code versions and tests. We discuss how LASSO enables rigorous evaluation of GAI-generated artifacts and propose its application in both software development and GAI research. ",""
"AI-Powered Code Reviews: Leveraging Large Language Models","https://scispace.com/paper/ai-powered-code-reviews-leveraging-large-language-models-4q4i1m1nnwr0","2024","Journal Article","","M Chowdhury
M Chowdhury
Fariha Ferdous Neha
Ahshanul Haque","10.1109/sparc61891.2024.10829223","","As the complexity and volume of software development continue to grow, the need for efficient and thorough code review processes becomes increasingly critical. This paper explores the integration of Large Language Models (LLMs), such as ChatGPT and Bard, into code review workflows to enhance software quality and security. By leveraging the natural language processing capabilities of LLMs, we aim to streamline the identification of code issues, detect potential security vulnerabilities, and provide developers with actionable feedback. Through a comprehensive analysis of current literature, case studies, and experimental data, this study evaluates the impact of AI-assisted code reviews on developer productivity and code quality. We also address the challenges and limitations of relying on LLMs, including context comprehension and potential biases. Our findings suggest that while LLMs offer significant advantages in automating and improving code reviews, they should complement rather than replace human expertise. This paper provides insights into best practices for integrating LLMs into development workflows, ultimately contributing to more robust and secure software systems.","This study explores the integration of Large Language Models into code review workflows to enhance software quality and security, leveraging natural language processing capabilities to streamline issue identification, detect vulnerabilities, and provide actionable feedback."
"A Systematic Literature Review of the Practical Applications of Artificial Intelligence-Generated Content (AIGC) Using OpenAI ChatGPT, Copilot, and Codex in Programming Education","https://scispace.com/paper/a-systematic-literature-review-of-the-practical-applications-p1f4br9pbro2","","Journal Article","","C. Chang
W. Choi
I. Choi
Huey Lei","10.1145/3719487.3719519","","This systematic literature review investigated the practical applications of Artificial Intelligence-Generated Content (AIGC) tools, specifically ChatGPT, Copilot, and Codex, in programming education. The review synthesized current research trends and key applications, with a particular focus on large language models (LLMs) and advanced chatbots. The findings revealed a significant increase in research interest following the release of ChatGPT, with most studies concentrating on university-level programming education. The review identified eight primary applications of AIGC tools in programming education, including evaluating AI performance in solving programming tasks, providing AI-driven code generation and assistance, automating assessment review and feedback, delivering personalized learning and tutoring, supporting educators and instructional design, investigating educator and student perceptions, checking for plagiarism, and exploring AI's impact on curriculum design. Despite the promising potential of these tools, critical gaps remained, particularly in primary and secondary education, as well as in online and blended learning environments. Future research was recommended to address these areas and to explore a broader range of AIGC tools to unlock their full potential for enhancing programming education.","This systematic literature review synthesizes research on AI-generated content tools (ChatGPT, Copilot, Codex) in programming education, identifying 8 primary applications and highlighting gaps in primary and secondary education, online learning, and educator perceptions."
"Automated Code Review In Practice","https://scispace.com/paper/automated-code-review-in-practice-lcrhow7wsu4i","2024","Journal Article","","Umut Cihan
Vahid Haratian
Arda İçöz
Mert Kaan Gül
Ömercan Devran
Emircan Furkan Bayendur
Baykal Mehmet Uçar
Eray Tüzün","10.48550/arxiv.2412.18531","","Code review is a widespread practice to improve software quality and transfer knowledge. It is often seen as time-consuming due to the need for manual effort and potential delays. Several AI-assisted tools, such as Qodo, GitHub Copilot, and Coderabbit, provide automated reviews using large language models (LLMs). The effects of such tools in the industry are yet to be examined. This study examines the impact of LLM-based automated code review tools in an industrial setting. The study was conducted within a software development environment that adopted an AI-assisted review tool (based on open-source Qodo PR Agent). Around 238 practitioners across ten projects had access to the tool. We focused on three projects with 4,335 pull requests, 1,568 of which underwent automated reviews. Data collection comprised three sources: (1) a quantitative analysis of pull request data, including comment labels indicating whether developers acted on the automated comments, (2) surveys sent to developers regarding their experience with reviews on individual pull requests, and (3) a broader survey of 22 practitioners capturing their general opinions on automated reviews. 73.8% of automated comments were resolved. However, the average pull request closure duration increased from five hours 52 minutes to eight hours 20 minutes, with varying trends across projects. Most practitioners reported a minor improvement in code quality due to automated reviews. The LLM-based tool proved useful in software development, enhancing bug detection, increasing awareness of code quality, and promoting best practices. However, it also led to longer pull request closure times and introduced drawbacks like faulty reviews, unnecessary corrections, and irrelevant comments. ","This study examines the impact of LLM-based automated code review tools in an industrial setting, finding benefits in bug detection, code quality, and best practices, but also drawbacks such as longer closure times, faulty reviews, and unnecessary corrections."
"Grounded Copilot: How Programmers Interact with Code-Generating Models","https://scispace.com/paper/grounded-copilot-how-programmers-interact-with-code-3bed2wmhe3","2023","Dataset","","Shraddha Barke
Michael B. James
Nadia Polikarpova","10.5281/zenodo.7713789","","Powered by recent advances in code-generating models, AI assistants like Github Copilot promise to change the face of programming forever. But what is this new face of programming? We present the first grounded theory analysis of how programmers interact with Copilot, based on observing 20 participants---with a range of prior experience using the assistant---as they solve diverse programming tasks across four languages. Our main finding is that interactions with programming assistants are bimodal: in acceleration mode, the programmer knows what to do next and uses Copilot to get there faster; in exploration mode, the programmer is unsure how to proceed and uses Copilot to explore their options. Based on our theory, we provide recommendations for improving the usability of future AI programming assistants. This artifact contains:<br> - The scripts to generate our plots - Detailed study information to re-run our user study - Livestreams that we observed and included in our dataset - Our codebook ","Programmers interact with code-generating models in bimodal ways, using them to accelerate or explore solutions."
"AICodeReview: Advancing Code Quality with AI-Enhanced Reviews","https://scispace.com/paper/aicodereview-advancing-code-quality-with-ai-enhanced-reviews-4f2grq1guy","2023","Preprint","","Yonatha Almeida
Emanuel Dantas Filho
Danyllo Albuquerque
Felipe Muniz
Katyusco de Farias Santos
Mirko Perkusich
Hyggo Almeida
Ângelo Perkusich","10.2139/ssrn.4575968","","This paper presents a research investigation into the application of Artificial Intelligence (AI) within code review processes, aiming to enhance the quality and efficiency of this critical activity. To achieve this objective, an IntelliJ IDEA plugin was developed, leveraging GPT-3 as the foundational framework for automated code assessment. The tool comprehensively analyses code snippets to pinpoint syntax and semantic issues while proposing potential resolutions. The study showcases the tool’s architecture, configuration methods, and diverse usage scenarios, emphasizing its effectiveness in identifying logic discrepancies and syntactical errors. Ultimately, the findings suggest that integrating AI technologies offers a potent approach to streamlining the time and effort invested in code reviews, thereby fostering advancements in software quality. ","AICodeReview enhances code quality by leveraging AI-powered code reviews, identifying syntax and semantic issues, and proposing solutions."
