"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"U2QCF7UD","journalArticle","2025","Mellado, Rafael; Cubillos, Claudio","Can Generative Artificial Intelligence Outperform Self-Instructional Learning in Computer Programming?: Impact on Motivation and Knowledge Acquisition","Applied Sciences","","","10.3390/app15115867","https://www.proquest.com/scholarly-journals/can-generative-artificial-intelligence-outperform/docview/3217721162/se-2?accountid=11643","Generative artificial intelligence tools, such as Microsoft Copilot, are transforming the teaching of programming by providing real-time feedback and personalized assistance; however, their impact on learning, motivation, and cognitive absorption remains underexplored, particularly in university settings. This study evaluates the effectiveness of Microsoft Copilot compared to instructional videos in teaching web programming in PHP, implementing a quasi-experimental design with 71 industrial engineering students in Chile, divided into two groups: one using Microsoft Copilot and the other following instructional videos, with pre- and post-tests applied to measure knowledge acquisition while surveys based on the Hedonic-Motivation System Adoption Model (HMSAM) assessed cognitive absorption (enjoyment, control, immersion, curiosity) and technology acceptance (perceived usefulness, ease of use, and intention to adopt). The results show that, while both methods improved learning, students who used instructional videos achieved greater knowledge gains, higher levels of curiosity, and a stronger intention to continue using the technique, suggesting that instructional videos, by providing structured explanations and reducing cognitive load, may be more effective in the early stages of programming learning. In contrast, AI tools could be more beneficial in advanced stages where students require adaptive feedback, providing empirical evidence on the comparative effectiveness of AI-based and video-based instruction in teaching programming and highlighting the importance of balancing structured learning with AI-driven interactivity, with the recommendation that educators integrate both approaches to optimize the learning experience, using videos for initial instruction and AI tools for personalized support.","2025","2026-04-05 22:30:40","2026-06-14 01:00:02","","5867","","11","15","","","","","","","","MDPI AG","","English","","","Publicly Available Content Database","3217721162","","","Place: Basel","<p>Copyright - © 2025 by the authors. Licensee MDPI, Basel, Switzerland. This article is an open access article distributed under the terms and conditions of the Creative Commons Attribution (CC BY) license (https://creativecommons.org/licenses/by/4.0/). Notwithstanding the ProQuest Terms and Conditions, you may use this content in accordance with the terms of the License.</p>; <div data-schema-version=""9""><p>E040</p> </div>; <p>Last updated - 2026-01-27</p>; <div data-schema-version=""9""><p>Paper_040</p> </div>","; ; /Users/lguevara/Zotero/storage/M4QTBNCT/Mellado and Cubillos - 2025 - Can Generative Artificial Intelligence Outperform Self-Instructional Learning in Computer Programmin.pdf","https://media.proquest.com/media/hms/PFT/1/PLbnc?_a=ChgyMDI2MDQwNTE4MDYyMzU0Mjo3NzcxOTgSBjEwMzA0MBoKT05FX1NFQVJDSCIOMTg3LjE5MC43OS4yMDIqBzIwMzI0MzMyCjMyMTc3MjExNjI6DURvY3VtZW50SW1hZ2VCATBSBk9ubGluZVoCRlRiA1BGVGoKMjAyNS8wNi8wMXIKMjAyNS8wNi8xNHoAggEhUC0xMDA5MjQwLTExNjQzLUZSRUUtbnVsbC03MjEzMTc1kgEGT25saW5lygFUTW96aWxsYS81LjAgKE1hY2ludG9zaDsgSW50ZWwgTWFjIE9TIFggMTAuMTU7IHJ2OjE0OS4wKSBHZWNrby8yMDEwMDEwMSBGaXJlZm94LzE0OS4w0gESU2Nob2xhcmx5IEpvdXJuYWxzmgIHUHJlUGFpZKoCK09TOkVNUy1NZWRpYUxpbmtzU2VydmljZS1nZXRNZWRpYVVybEZvckl0ZW3KAg9BcnRpY2xlfEZlYXR1cmXSAgFZ8gIA%2BgIBWYIDA1dlYooDHENJRDoyMDI2MDQwNTE4MDYyMzU0Mjo0NDMxNzY%3D&_s=cIOrF0asvIH2D%2FDrlHBonFiYy0s%3D; https://libkey.io/libraries/2563/openurl?genre=unknown&au=Mellado+Rafael%3B+Cubillos+Claudio&aulast=Mellado+Rafael&issn=&isbn=&title=Can+Generative+Artificial+Intelligence+Outperform+Self-Instructional+Learning+in+Computer+Programming%3F%3A+Impact+on+Motivation+and+Knowledge+Acquisition&jtitle=Applied+Sciences&pubname=Applied+Sciences&btitle=&atitle=Can+Generative+Artificial+Intelligence+Outperform+Self-Instructional+Learning+in+Computer+Programming%3F%3A+Impact+on+Motivation+and+Knowledge+Acquisition&volume=15&issue=11&spage=5867&date=2025&doi=10.3390%2Fapp15115867&sid=ProQuest","Academic achievement; Active learning; Adaptive learning; cognitive absorption; Computer & video games; Education; Educational technology; generative artificial intelligence; Generative artificial intelligence; Motivation; Pedagogy; programming education; Sciences: Comprehensive Works; technology adoption; Technology adoption; University students","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FHX97YDJ","journalArticle","2025","Suryavanshi, Prathmesh; Kapse, Manohar; Sharma, Vinod","Integrating ChatGPT into Software Development: Valuating Acceptance and Utilisation Among Developers","Australasian Accounting Business & Finance Journal","","18342000","","https://www.proquest.com/scholarly-journals/integrating-chatgpt-into-software-development/docview/3181904918/se-2?accountid=11643","This study examines software developers' acceptance and utilisation of ChatGPT, analysing its potential as an AI-driven programming assistant. Using the UTAUT2 framework and judgmental sampling, data was gathered from 335 developers over six weeks, starting in April 2024. The research assesses ChatGPT's impact on developers' workflows, focusing on determinants like Performance Expectancy, Effort Expectancy, Social Influence, and Facilitating Conditions, with additional consideration for Personal Innovativeness. Structural equation modelling reveals that Facilitating Conditions and Hedonic Motivation significantly influence developers' Behavioral Intention to use ChatGPT. Findings indicate developers view ChatGPT as a tool that enhances productivity and enjoyment in coding tasks, yet concerns remain about potential dependency and the AI's reliability. Moderating effects of Gender and Experience show nuanced influences, with experienced developers more inclined toward innovation. This research provides valuable insights for optimising ChatGPT integration, underscoring the importance of supportive resources and further refinement of AI tools in development contexts.","2025","2026-04-05 22:30:40","2026-04-05 22:30:40","","96-117","","1","19","","","","","","","","University of Wollongong","","English","","","ProQuest One Business General Content; Publicly Available Content Database","3181904918","","","Place: Wollongong","<p>Copyright - © 2025. This work is published under https://creativecommons.org/licenses/by-nc/4.0/ (the “License”). Notwithstanding the ProQuest Terms and Conditions, you may use this content in accordance with the terms of the License.</p>; <div data-schema-version=""9""><p>E097</p> </div>; <p>Last updated - 2026-02-14</p>; <div data-schema-version=""9""><p>Paper_097</p> </div>","; ; /Users/lguevara/Zotero/storage/XFPAXX6K/Suryavanshi et al. - 2025 - Integrating ChatGPT into Software Development Valuating Acceptance and Utilisation Among Developers.pdf","https://media.proquest.com/media/hms/PFT/1/CZA1c?_a=ChgyMDI2MDQwNTE4MDYyMzU0Mjo3NzcxOTgSBjEwMzA0MBoKT05FX1NFQVJDSCIOMTg3LjE5MC43OS4yMDIqBTM4ODcyMgozMTgxOTA0OTE4Og1Eb2N1bWVudEltYWdlQgEwUgZPbmxpbmVaAkZUYgNQRlRqCjIwMjUvMDEvMDFyCjIwMjUvMDMvMTR6AIIBO1AtMTAwOTkyNC0xMTY0My1DVVNUT01FUi0xMDAwMDQzMS8xMDAwMDQzMC8xMDAwMDM2OS04MDYzMjIykgEGT25saW5lygFUTW96aWxsYS81LjAgKE1hY2ludG9zaDsgSW50ZWwgTWFjIE9TIFggMTAuMTU7IHJ2OjE0OS4wKSBHZWNrby8yMDEwMDEwMSBGaXJlZm94LzE0OS4w0gESU2Nob2xhcmx5IEpvdXJuYWxzmgIHUHJlUGFpZKoCK09TOkVNUy1NZWRpYUxpbmtzU2VydmljZS1nZXRNZWRpYVVybEZvckl0ZW3KAg9BcnRpY2xlfEZlYXR1cmXSAgFZ8gIA%2BgIBWYIDA1dlYooDHENJRDoyMDI2MDQwNTE4MDYyMzU0Mjo0NDMxNzY%3D&_s=NbWV0vVzwa00mnYzwfnx5Oci2iA%3D; https://libkey.io/libraries/2563/openurl?genre=unknown&au=Suryavanshi%2C+Prathmesh%3B+Kapse%2C+Manohar%3B+Sharma%2C+Vinod&aulast=Suryavanshi&issn=&isbn=&title=Integrating+ChatGPT+into+Software+Development%3A+Valuating+Acceptance+and+Utilisation+Among+Developers&jtitle=Australasian+Accounting+Business+%26+Finance+Journal&pubname=Australasian+Accounting+Business+%26+Finance+Journal&btitle=&atitle=Integrating+ChatGPT+into+Software+Development%3A+Valuating+Acceptance+and+Utilisation+Among+Developers&volume=19&issue=1&spage=96&date=2025&doi=&sid=ProQuest","51321:Software Publishers; Artificial intelligence; Business And Economics--Banking And Finance; Chatbots; Hypotheses; Influence; Innovations; Productivity; Software development; Software industry; Structural equation modeling; Technological change; Technology adoption","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FYBDRB8H","journalArticle","2026","Pohjalainen, Pyry; Vepsäläinen, Juho","Artificial Intelligence for Web Development: Perspectives From the Industry","AI Magazine","","07384602","10.1002/aaai.70051","https://www.proquest.com/scholarly-journals/artificial-intelligence-web-development/docview/3301387738/se-2?accountid=11643","As a field, web development is roughly 30 years old, and during this period, it has been transformed several times already as it has moved from static websites to dynamic web applications. Now, with the introduction of Artificial Intelligence (AI), the field is again at the cusp of a transformation as the latest AI tools might change how to develop for the web yet again. The objective of this study is to look into this phenomenon and understand how AI is changing web development. To achieve this task, we chose to use the sequential qualitative–quantitative design method that combines interviews with a survey to validate and expand our findings from the interviews. We found that AI is used by web developers to increase their development efficiency, as even the current tools are easy to use and access, although they come with several minor downsides, including AI not being able to understand complex logic, the need for validation of AI output, and suggested code that could potentially lead to security issues. While there are clear benefits to using AI tools for web development and AI proficiency is a vital skill for web developers, there are still open questions related to the quality of code produced by AI&#xa0;tools.","2026-03-01","2026-04-05 22:30:42","2026-05-22 16:48:42","","17","","1","47","","","","","","","","John Wiley & Sons, Inc.","","English","","","Advanced Technologies & Aerospace Database; Career & Technical Education Database: Business; Career & Technical Education Database: Science & Technology; Computer Science Database; Engineering Database; Library & Information Science Abstracts (LISA); Library Science Database; ProQuest One Business General Content; ProQuest One Sustainability General Content; Research Library: Business; Research Library: Science & Technology","3301387738","","","Place: La Canada","<p>Copyright - © 2026. This work is published under http://creativecommons.org/licenses/by/4.0/ (the ""License"").&nbsp;&nbsp;Notwithstanding the ProQuest Terms and Conditions, you may use this content in accordance with the terms of the License.</p>; <div data-schema-version=""9""><p>E279</p> </div>; <p>Last updated - 2026-02-08</p>; <div data-schema-version=""9""><p>Paper_279</p> </div>; <div data-schema-version=""9""><p>Proquest</p> </div>; <p>SubjectsTermNotLitGenreText - Economic</p>","; ; /Users/lguevara/Zotero/storage/GHDY7NBG/Pohjalainen and Vepsäläinen - 2026 - Artificial Intelligence for Web Development Perspectives From the Industry.pdf","https://media.proquest.com/media/hms/PFT/1/MoAPf?_a=ChgyMDI2MDQwNTE4MDYyMzU0Mjo3NzcxOTgSBjEwMzA0MBoKT05FX1NFQVJDSCIOMTg3LjE5MC43OS4yMDIqBTM2ODEzMgozMzAxMzg3NzM4Og1Eb2N1bWVudEltYWdlQgEwUgZPbmxpbmVaAkZUYgNQRlRqCjIwMjYvMDQvMDFyCjIwMjYvMDYvMzB6AIIBO1AtMTAwOTkyNC0xMTY0My1DVVNUT01FUi0xMDAwMDQzMS8xMDAwMDQzMC8xMDAwMDM2OS04MDYzMjIykgEGT25saW5lygFUTW96aWxsYS81LjAgKE1hY2ludG9zaDsgSW50ZWwgTWFjIE9TIFggMTAuMTU7IHJ2OjE0OS4wKSBHZWNrby8yMDEwMDEwMSBGaXJlZm94LzE0OS4w0gESU2Nob2xhcmx5IEpvdXJuYWxzmgIHUHJlUGFpZKoCK09TOkVNUy1NZWRpYUxpbmtzU2VydmljZS1nZXRNZWRpYVVybEZvckl0ZW3KAg9BcnRpY2xlfEZlYXR1cmXSAgFZ8gIA%2BgIBWYIDA1dlYooDHENJRDoyMDI2MDQwNTE4MDYyMzU0Mjo0NDMxNzY%3D&_s=YYVIbYWgE3b0QoISK6J1EcOdE6g%3D; https://libkey.io/libraries/2563/openurl?genre=unknown&au=Pohjalainen%2C+Pyry%3B+Veps%C3%A4l%C3%A4inen%2C+Juho&aulast=Pohjalainen&issn=&isbn=&title=Artificial+intelligence+for+web+development%3A+Perspectives+from+the+industry&jtitle=AI+Magazine&pubname=AI+Magazine&btitle=&atitle=Artificial+intelligence+for+web+development%3A+Perspectives+from+the+industry&volume=47&issue=1&spage=&date=2026&doi=10.1002%2Faaai.70051&sid=ProQuest","Applications programs; Artificial intelligence; Chatbots; Competence; Computers--Artificial Intelligence; Economic; Interviews; Semantic web; Social networks; Software; Transformation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"U9ISSL3U","journalArticle","2025","Martinović, Boris; Rozić, Robert","Perceived Impact of AI-Based Tooling on Software Development Code Quality","SN Computer Science","","2662995X","10.1007/s42979-024-03608-4","https://www.proquest.com/scholarly-journals/perceived-impact-ai-based-tooling-on-software/docview/3151985707/se-2?accountid=11643","Artificial intelligence (AI) is a powerful tool that can play a crucial role in software development. The integration of AI in that domain has allowed various AI-powered tools to emerge and have the potential to positively impact code quality. This article explores the perceived impact of AI tools on the quality of software development code. Through a survey conducted in various tech companies, the findings of this study aimed to provide a comprehensive understanding of the current state and potential future trends of artificial intelligence in software engineering. The overall results show that there is high satisfaction among developers using AI tools, with more than three-quarters of them stating that the adoption of these tools positively impacted their overall satisfaction and productivity in the software development sector. Although there are relatively mediocre values in terms of grades in development satisfaction with readability, maintainability, efficiency, and precision, there is an overall positive perceived outlook for AI tools. There is room for growth in both adoption and refinement, especially when talking about developer-centric tools.","2025-01","2026-04-05 22:30:43","2026-04-05 23:39:47","","63","","1","6","","","","","","","","Springer Nature B.V.","","English","","","Advanced Technologies & Aerospace Database; Computer Science Database","3151985707","","","Place: Kolkata","<p>Copyright - Copyright Springer Nature B.V. Jan 2025</p>; <div data-schema-version=""9""><p>E305</p> </div>; <p>Last updated - 2025-01-07</p>; <div data-schema-version=""9""><p>Paper_305</p> </div>","; ; /Users/lguevara/Zotero/storage/2X5Z3C5G/Martinović and Rozić - 2025 - Perceived Impact of AI-Based Tooling on Software Development Code Quality.pdf","https://media.proquest.com/media/hms/PFT/1/sh16b?_a=ChgyMDI2MDQwNTE4MDYyMzU0Mjo3NzcxOTgSBjEwMzA0MBoKT05FX1NFQVJDSCIOMTg3LjE5MC43OS4yMDIqBzY2MjMzMDcyCjMxNTE5ODU3MDc6DURvY3VtZW50SW1hZ2VCATBSBk9ubGluZVoCRlRiA1BGVGoKMjAyNS8wMS8wMXIKMjAyNS8wMS8zMXoAggFEUC0xMDA3ODUyLTExNjQzLUNVU1RPTUVSLTEwMDAwNDMxLzEwMDAwNDMwLzEwMDAwNDE5LzEwMDAwMjMzLTgwNjMyNzmSAQZPbmxpbmXKAVRNb3ppbGxhLzUuMCAoTWFjaW50b3NoOyBJbnRlbCBNYWMgT1MgWCAxMC4xNTsgcnY6MTQ5LjApIEdlY2tvLzIwMTAwMTAxIEZpcmVmb3gvMTQ5LjDSARJTY2hvbGFybHkgSm91cm5hbHOaAgdQcmVQYWlkqgIrT1M6RU1TLU1lZGlhTGlua3NTZXJ2aWNlLWdldE1lZGlhVXJsRm9ySXRlbcoCD0FydGljbGV8RmVhdHVyZdICAVnyAgD6AgFOggMDV2ViigMcQ0lEOjIwMjYwNDA1MTgwNjIzNTQyOjQ0MzE3Ng%3D%3D&_s=GwI0cdXqdP1NGb1HZEcCzD139jw%3D; https://libkey.io/libraries/2563/openurl?genre=unknown&au=&aulast=&issn=&isbn=&title=Perceived+Impact+of+AI-Based+Tooling+on+Software+Development+Code+Quality&jtitle=SN+Computer+Science&pubname=SN+Computer+Science&btitle=&atitle=Perceived+Impact+of+AI-Based+Tooling+on+Software+Development+Code+Quality&volume=6&issue=1&spage=63&date=2025&doi=10.1007%2Fs42979-024-03608-4&sid=ProQuest","Accuracy; AI tools; Artificial intelligence; Automation; Code quality; Coding standards; Collaboration; Computers; Debugging; Efficiency; Engineers; Logic; Maintainability; Perceived AI impact; Readability; Software development; Software quality; Tooling","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IFHL5V3U","conferencePaper","2024","Smit, Danie; Smuts, Hanlie; Louw, Paul; Pielmeier, Julia; Eidelloth, Christina","The Impact of GitHub Copilot on Developer Productivity From a Software Engineering Body of Knowledge Perspective","AMCIS 2024 Proceedings","","","","https://aisel.aisnet.org/amcis2024/ai_aa/ai_aa/10/","Recent times saw captivating improvements to artificial intelligence-assisted code completion technology. The precise effect this contributes to conventional software development is an exciting consideration for individuals and corporations seeking modern workflow optimization approaches. A team’s productivity may be defined as the amount of work that can be completed in a certain amount of time. However, determining an exact metric for productivity proves to be a challenging task. To this end, a case study was conducted at a leading automotive organization investigating the effects on software developers who employ GitHub Copilot as part of their daily work. Typical agile working model metrics were evaluated in context of the SPACE framework to devise a means of measuring GitHub Copilot’s impact on developer productivity. Some improvements were observed from the case study across the throughput, cycle time, code quality, defects, and developer satisfaction measures. This ultimately led to an increase in developer productivity.","2024-08","2026-04-05 23:48:14","2026-05-03 18:57:59","","","","","","","","GitHub Copilot and Developer Productivity","","","","","Association for Information Systems (AIS)","Salt Lake City, USA","English","","","","","AIS Electronic Library (AISeL)","","","<div data-schema-version=""9""><p>E103</p> </div>; <div data-schema-version=""9""><p>Paper_103</p> </div>","/Users/lguevara/Zotero/storage/Q52JQYAA/Smit et al. - 2024 - The impact of GitHub Copilot on developer productivity from a software engineering body of knowledge.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Americas Conference on Information Systems (AMCIS 2024)","","","","","","","","","","","","","","",""
"7ZGRD6JA","preprint","2024","Pandey, Ruchika; Singh, Prabhat; Wei, Raymond; Shankar, Shaila","Transforming Software Development: Evaluating the Efficiency and Challenges of GitHub Copilot in Real-World Projects","","","","10.48550/arxiv.2406.17910","https://arxiv.org/abs/2406.17910","Generative AI technologies promise to transform the product development lifecycle. This study evaluates the efficiency gains, areas for improvement, and emerging challenges of using GitHub Copilot, an AI-powered coding assistant. We identified 15 software development tasks and assessed Copilot's benefits through real-world projects on large proprietary code bases. Our findings indicate significant reductions in developer toil, with up to 50% time saved in code documentation and autocompletion, and 30-40% in repetitive coding tasks, unit test generation, debugging, and pair programming. However, Copilot struggles with complex tasks, large functions, multiple files, and proprietary contexts, particularly with C/C++ code. We project a 33-36% time reduction for coding-related tasks in a cloud-first software development lifecycle. This study aims to quantify productivity improvements, identify underperforming scenarios, examine practical benefits and challenges, investigate performance variations across programming languages, and discuss emerging issues related to code quality, security, and developer experience.","2024-06-25","2026-04-05 23:59:28","2026-05-03 17:14:24","","","","","","","","","","","","","","","en","","","","","Zotero","","","<div data-schema-version=""9""><p>E076</p> </div>; <div data-schema-version=""9""><p>Paper_076</p> </div>","/Users/lguevara/Zotero/storage/HTZZC498/Pandey et al. - 2024 - Transforming Software Development Evaluating the Efficiency and Challenges of GitHub Copilot in Rea.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"F767LP5V","journalArticle","2025","Sobo, Andrei; Mubarak, Awes; Baimagambetov, Almas; Polatidis, Nikolaos","Evaluating LLMs for Code Generation in HRI: A Comparative Study of ChatGPT, Gemini, and Claude","Applied Artificial Intelligence","","0883-9514, 1087-6545","10.1080/08839514.2024.2439610","https://www.tandfonline.com/doi/full/10.1080/08839514.2024.2439610","This study investigates the effectiveness of Large Language Models (LLMs) in generating code for Human-Robot Interaction (HRI) applications. We present the first direct comparison of ChatGPT 3.5, Gemini 1.5 Pro, and Claude 3.5 Sonnet in the specific context of generating code for Human-Robot Interaction applications. Through a series of 20 carefully designed prompts, ranging from simple movement commands to complex object manipulation scenarios, we evaluate the models’ ability to generate accurate and context-aware code. Our findings reveal significant variations in performance, with Claude 3.5 Sonnet achieving a 95% success rate, Gemini 1.5 Pro at 60%, and ChatGPT 3.5 at 20%. The study highlights the rapid advancement in LLM capabilities for specialized programming tasks while also identifying persistent challenges in spatial reasoning and adherence to specific constraints. These results suggest promising applications for LLMs in robotics development and education while emphasizing the continued need for human oversight and specialized training in AI-assisted programming for HRI.","2025-12-31","2026-04-06 22:29:50","2026-04-06 22:29:50","2026-04-06 22:29:50","2439610","","1","39","","Applied Artificial Intelligence","Evaluating LLMs for Code Generation in HRI","","","","","","","en","","","","","DOI.org (Crossref)","","","<div data-schema-version=""9""><p>E069</p> </div>; <div data-schema-version=""9""><p>Paper_069</p> </div>","/Users/lguevara/Zotero/storage/MBZRENVU/Sobo et al. - 2025 - Evaluating LLMs for Code Generation in HRI A Comparative Study of ChatGPT, Gemini, and Claude.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RV9CLT6Z","conferencePaper","2023","Georgsen, Roar Elias","Beyond Code Assistance with GPT-4: Leveraging GitHub Copilot and ChatGPT for Peer Review in VSE Engineering","Norsk IKT-konferanse for forskning og utdanning","","","","https://www.ntnu.no/ojs/index.php/nikt/article/view/5674","Most companies are Very Small Entities (VSEs), meaning they have fewer than 25 employees. Primarily domain specialists, these companies lack in-house expertise in important areas such as security and reliability engineering, process improvement, Quality Management (QM) and Systems Engineering (SE). VSEs struggle to adhere to Standard Operating procedures (SOP), and research has shown that contractual obligations to follow industry standards and best practices have little effect on actual engineering. This paper describes a case study that explored the potential of Large Language Models (LLMs) to support engineering best practices at a VSE by taking on the role of an expert peer in areas where the company had a skills gap. Aiwell, a Norwegian producer of building automation equipment, used ChatGPT, GitHub Copilot and GPT-4 to assess the quality of their system and stakeholder requirements. A GPT-4 foundation model with no additional training was given links to reference materials on requirements engineering produced by The International Council on Systems Engineering (INCOSE) and allowed to participate in discussions on the same digital collaboration platform as the human engineers. The study found that AI-assisted requirement reviews immediately and positively impacted the entire engineering process, supporting the feasibility of integrating advanced AI technologies in VSEs, even with limited training and resources. Participants highlighted the complementary nature of human intelligence and AI, where LLMs augmented human judgment through dialogue, leading to enriched engineering practices. Ethical and data privacy considerations also emerged as central themes, emphasising the need for proactive measures.","2023-11-28","2026-04-07 16:29:40","2026-05-13 15:35:56","2026-04-07","","","","","","","","","","","","NTNU","","English","","","","","Zotero","","","<div data-schema-version=""9""><p>E143</p> </div>; <div data-schema-version=""9""><p>Paper_143</p> </div>","/Users/lguevara/Zotero/storage/PUKHLPUB/Georgsen - 2023 - Beyond Code Assistance with GPT-4 Leveraging GitHub Copilot and ChatGPT for Peer Review in VSE Engi.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NOKOBIT 2023","","","","","","","","","","","","","","",""
"CX8MLAWY","conferencePaper","2024","Batista, Samuel Silvestre; Branco, Bruno; Castro, Otávio; Avelino, Guilherme","Code on Demand: A Comparative Analysis of the Efficiency Understandability and Self-Correction Capability of Copilot ChatGPT and Gemini","Proceedings of the XXIII Brazilian Symposium on Software Quality","979-8-4007-1777-2","","10.1145/3701625.3701673","https://dl.acm.org/doi/10.1145/3701625.3701673","The increasing demand for software development and a shortage of skilled developers has catalyzed the emergence of AI-powered code generation tools as potential solutions to enhance productivity and accessibility. While these tools promise to revolutionize software development, limited research critically evaluates their performance, particularly concerning code quality, comprehensibility, and self-correction capabilities. Therefore, this paper investigates the efficacy, comprehensibility, and self-repair capabilities of three prominent AI code generation tools: GitHub Copilot, ChatGPT, and Gemini. We replicate and extend the study by Nguyen and Nadi, evaluating the tools’ performance on 33 LeetCode problems across four programming languages: Python, Java, JavaScript, and C. Our findings demonstrate notable variations in performance between the tools and programming languages. Copilot achieved the highest accuracy in Java (87.88%), while ChatGPT consistently performed well across Python, Java, and JavaScript (78.79%). Gemini excelled in JavaScript (75.76%). Copilot generally generated more understandable code, as indicated by lower cognitive and cyclomatic complexity, whereas ChatGPT and Gemini exhibited higher variability. All tools demonstrated promising self-repair capabilities, but their effectiveness varied depending on the type of error and programming language. This study provides valuable insights into the strengths and limitations of these AI-powered tools, informing their practical application in software development.","2024-11-05","2026-04-07 18:19:52","2026-05-13 01:18:55","2026-04-07 18:19:52","351-361","","","","","","Code on Demand","","","","","ACM","Salvador Bahia Brazil","pt","","","","","DOI.org (Crossref)","","","<div data-schema-version=""9""><p>E132</p> </div>; <div data-schema-version=""9""><p>Paper_132</p> </div>","/Users/lguevara/Zotero/storage/7HS5LY65/Batista et al. - 2024 - Code on Demand A Comparative Analysis of the Efficiency Understandability and Self-Correction Capab.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SBQS 2024: XXIII Brazilian Symposium on Software Quality","","","","","","","","","","","","","","",""
"2QH3X9NA","conferencePaper","2023","Yan, Dapeng; Gao, Zhipeng; Liu, Zhiming","A Closer Look at Different Difficulty Levels Code Generation Abilities of ChatGPT","2023 38th IEEE/ACM International Conference on Automated Software Engineering (ASE)","979-8-3503-2996-4","","10.1109/ASE56229.2023.00096","https://ieeexplore.ieee.org/document/10298505/","Code generation aims to generate source code implementing human requirements illustrated with natural language speciﬁcations. With the rapid development of intelligent software engineering, automated code generation has become a hot research topic in both artiﬁcial intelligence and software engineering, and researchers have made signiﬁcant achievements on code generation. More recently, large language models (LLMs) have demonstrated outstanding performance on code generation tasks, such as ChatGPT released by OpenAI presents the fantastic potential on automated code generation. However, the existing studies are limited to exploring LLMs’ ability for generating code snippets to solve simple programming problems, the task of competition-level code generation has never been investigated. The speciﬁcations of the programming competition are always complicated and require the speciﬁc input/output format as well as the high-level algorithmic reasoning ability. In this study, we conduct the ﬁrst large empirical study to investigate the zero-shot learning ability of ChatGPT for solving competition programming problems. Speciﬁcally, we warm up the design of prompts by using the Human-Eval dataset. Then, we apply the well-designed prompt to the competition-level code generation dataset, namely APPS, to further explore the effectiveness of using ChatGPT for solving competition problems. We collect ChatGPT’s outputs on 5,000 code competition problems, the evaluation results show that it can successfully pass 25.4% test cases. By further feeding extra information (e.g, test failed information) to ChatGPT, we observe that ChatGPT has the potential to ﬁx partial pass into a fully pass program. Moreover, we investigate the solutions generated by LLMs and the existing solutions, we ﬁnd that it prefers to directly copy the code instead of re-write when facing more difﬁcult problems. Finally, we evaluate the code quality generated by ChatGPT in terms of “code cleanness”, we observe that the generated codes are with small functions and ﬁle sizes, which are in line with the standard of clean code.","2023-09-11","2026-04-07 18:28:24","2026-04-07 18:28:24","2026-04-07 18:28:24","1887-1898","","","","","","","","","","","IEEE","Luxembourg, Luxembourg","en","https://doi.org/10.15223/policy-029","","","","DOI.org (Crossref)","","","<div data-schema-version=""9""><p>E094</p> </div>; <div data-schema-version=""9""><p>Paper_094</p> </div>","/Users/lguevara/Zotero/storage/DLGUJTK6/Yan et al. - 2023 - A Closer Look at Different Difficulty Levels Code Generation Abilities of ChatGPT.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2023 38th IEEE/ACM International Conference on Automated Software Engineering (ASE)","","","","","","","","","","","","","","",""
