Support level,Papers,Percent
Strong,124,39.743589743589745
Very Strong,86,27.564102564102566
Moderate,31,9.935897435897436
High,25,8.012820512820513
Alto,17,5.448717948717949
Medio-Alto,7,2.2435897435897436
Medium-High,5,1.6025641025641024
Medio,4,1.282051282051282
Muy alto,3,0.9615384615384616
Moderate-Strong,3,0.9615384615384616
Bajo-Medio,2,0.641025641025641
Medium,2,0.641025641025641
Medium-Strong,1,0.3205128205128205
Low-Moderate,1,0.3205128205128205
Moderate-to-Strong,1,0.3205128205128205
